date, pm10, so2
2021/10/14, 69, 2
2021/10/15, 79, 3
2021/10/16, 84, 6
2021/10/17, 95, 14
2021/10/18, 65, 6
2021/10/19, 50, 6
2021/10/20, 40, 12
2021/10/21, 39, 9
2021/10/22, 43, 7
2021/10/23, 36, 
2021/10/24, 41, 7
2021/10/25, 36, 10
2021/10/26, 43, 1
2021/10/27, 51, 4
2021/10/28, 48, 19
2021/10/29, 65, 7
2021/10/30, 62, 6
2021/10/31, 44, 5
2021/11/1, 50, 5
2021/11/2, 81, 9
2021/11/3, 46, 4
2021/11/4, 43, 5
2021/11/5, 40, 6
2021/11/6, 26, 
2021/11/7, 20, 
2021/11/9, 40, 12
2021/11/10, 53, 9
2021/11/11, 60, 
2021/11/12, 56, 6
2021/11/13, 31, 14
2021/11/14, 34, 13
2021/11/15, 45, 19
2021/11/16, 49, 13
2021/11/17, 63, 17
2021/11/18, 53, 10
2021/11/19, 67, 10
2021/11/20, 74, 7
2021/11/21, 76, 12
2021/11/22, 44, 
2021/11/23, 49, 17
2021/11/24, 36, 9
2021/11/25, 43, 14
2021/11/26, 49, 11
2021/11/27, 42, 15
2021/11/28, 56, 11
2021/11/29, 34, 2
2021/11/30, 34, 18
2021/12/1, 33, 9
2021/12/2, 53, 5
2021/12/3, 28, 18
2021/12/4, 16, 21
2021/12/5, 30, 20
2021/12/6, 44, 
2021/12/7, 35, 
2021/12/11, 75, 3
2021/12/12, 42, 17
2021/12/13, 37, 13
2021/12/14, 22, 23
2021/12/15, 40, 29
2021/12/16, 49, 21
2021/12/17, 65, 14
2021/12/18, 64, 11
2021/12/19, 47, 16
2021/12/20, 35, 13
2021/12/21, 33, 3
2021/12/22, 43, 8
2021/12/23, 16, 12
2021/12/24, 20, 6
2021/12/25, 24, 
2021/12/26, 26, 
2021/12/27, 22, 9
2021/12/28, 38, 19
2021/12/29, 42, 32
2021/12/30, 52, 40
2021/12/31, 60, 14
2022/1/1, 54, 19
2022/1/2, 49, 29
2022/1/3, 39, 7
2021/7/2, 51, 4
2021/7/3, 56, 9
2021/7/4, 52, 8
2021/7/5, 64, 6
2021/7/6, 53, 7
2021/7/7, 39, 4
2021/7/8, 53, 3
2021/7/9, 42, 5
2021/7/10, 44, 10
2021/7/11, 49, 6
2021/7/12, 43, 
2021/7/13, 21, 
2021/7/15, 52, 8
2021/7/16, 57, 8
2021/7/17, 68, 11
2021/7/18, 61, 
2021/7/19, 54, 
2021/9/13, 52, 5
2021/9/14, 53, 6
2021/9/15, 44, 
2021/9/16, 51, 7
2021/9/17, 49, 4
2021/9/18, 36, 
2021/9/19, 27, 
2021/9/21, 3, 6
2021/9/22, 3, 7
2021/9/23, 3, 6
2021/9/24, 7, 5
2021/9/25, 44, 4
2021/9/26, 35, 4
2021/9/27, 67, 6
2021/9/28, 55, 7
2021/9/29, 44, 6
2021/9/30, 51, 5
2021/10/1, 52, 7
2021/4/2, 50, 7
2021/4/3, 34, 7
2021/4/4, 22, 9
2021/4/5, 22, 9
2021/4/6, 32, 9
2021/4/7, 39, 8
2021/4/8, 53, 18
2021/4/9, 75, 11
2021/4/10, 91, 10
2021/4/11, 52, 7
2021/4/12, 63, 9
2021/4/13, 24, 8
2021/4/14, 24, 4
2021/4/15, 17, 7
2021/4/16, 16, 8
2021/4/17, 33, 8
2021/4/18, 41, 5
2021/4/19, 42, 11
2021/4/20, 57, 7
2021/4/21, 63, 6
2021/4/22, 70, 6
2021/4/23, 54, 5
2021/4/24, 28, 4
2021/4/25, 24, 1
2021/4/26, 29, 
2021/4/27, 41, 10
2021/4/28, 85, 12
2021/4/29, 62, 10
2021/4/30, 62, 8
2021/5/1, 48, 5
2021/5/2, 34, 5
2021/5/3, 33, 5
2021/5/4, 19, 2
2021/5/5, 30, 4
2021/5/6, 41, 9
2021/5/7, 31, 7
2021/5/8, 26, 9
2021/5/9, 17, 11
2021/5/10, 18, 7
2021/5/11, 44, 8
2021/5/12, 25, 
2021/5/13, 26, 5
2021/5/14, 49, 
2021/5/18, 39, 7
2021/5/19, 47, 5
2021/5/20, 32, 4
2021/5/21, 32, 5
2021/5/22, 42, 5
2021/5/23, 183, 6
2021/5/24, 67, 7
2021/5/25, 36, 2
2021/5/26, 54, 2
2021/5/27, 46, 4
2021/5/28, 32, 8
2021/5/29, 44, 11
2021/5/30, 49, 9
2021/5/31, 55, 7
2021/6/1, 43, 5
2021/6/2, 66, 
2021/6/3, 65, 5
2021/6/4, 35, 9
2021/6/5, 32, 6
2021/6/6, 41, 8
2021/6/7, 33, 6
2021/6/8, 31, 7
2021/6/9, 28, 6
2021/6/10, 48, 7
2021/6/11, 54, 6
2021/6/12, 60, 8
2021/6/13, 58, 5
2021/6/14, 63, 3
2021/6/15, 48, 5
2021/6/16, 54, 4
2021/6/17, 50, 6
2021/6/18, 53, 5
2021/6/19, 35, 8
2021/6/20, 31, 11
2021/6/21, 56, 5
2021/6/22, 63, 4
2021/6/23, 52, 1
2021/6/24, 51, 7
2021/6/25, 57, 7
2021/6/26, 63, 6
2021/6/27, 50, 3
2021/6/28, 44, 4
2021/6/29, 47, 9
2021/6/30, 52, 8
2021/7/1, 59, 3
2021/1/5, 34, 17
2021/1/6, 39, 10
2021/1/7, 40, 14
2021/1/8, 32, 18
2021/1/9, 45, 30
2021/1/10, 41, 23
2021/1/11, 39, 17
2021/1/12, 51, 18
2021/1/13, 60, 15
2021/1/14, 67, 6
2021/1/15, 72, 6
2021/1/16, 42, 10
2021/1/17, 21, 6
2021/1/18, 29, 5
2021/1/19, 17, 5
2021/1/20, 16, 3
2021/1/21, 22, 14
2021/1/22, 28, 10
2021/1/23, 28, 18
2021/1/24, 27, 35
2021/1/25, 36, 43
2021/1/26, 47, 38
2021/1/27, 53, 36
2021/1/28, 66, 23
2021/1/29, 59, 8
2021/1/30, 49, 7
2021/1/31, 26, 6
2021/2/1, 23, 21
2021/2/2, 24, 13
2021/2/3, 30, 
2021/2/4, 32, 41
2021/2/5, 37, 19
2021/2/6, 50, 
2021/2/7, 50, 
2021/2/9, 39, 15
2021/2/10, 48, 21
2021/2/11, 48, 14
2021/2/12, 44, 14
2021/2/13, 34, 14
2021/2/14, 42, 15
2021/2/15, 48, 14
2021/2/16, 52, 17
2021/2/17, 55, 4
2021/2/18, 76, 4
2021/2/19, 31, 10
2021/2/20, 29, 13
2021/2/21, 24, 11
2021/2/22, 21, 13
2021/2/23, 25, 10
2021/2/24, 25, 7
2021/2/25, 20, 7
2021/2/26, 23, 3
2021/2/27, 26, 16
2021/2/28, 25, 16
2021/3/1, 40, 12
2021/3/2, 39, 14
2021/3/3, 36, 28
2021/3/4, 35, 12
2021/3/5, 10, 7
2021/3/6, 12, 13
2021/3/7, 34, 12
2021/3/8, 36, 15
2021/3/9, 32, 15
2021/3/10, 32, 12
2021/3/11, 32, 12
2021/3/12, 54, 7
2021/3/13, 70, 5
2021/3/14, 17, 16
2021/3/15, 27, 17
2021/3/16, 33, 18
2021/3/17, 40, 10
2021/3/18, 45, 9
2021/3/19, 26, 8
2021/3/20, 16, 10
2021/3/21, 18, 12
2021/3/22, 27, 15
2021/3/23, 39, 11
2021/3/24, 56, 5
2021/3/25, 53, 6
2021/3/26, 25, 8
2021/3/27, 18, 12
2021/3/28, 16, 8
2021/3/29, 17, 10
2021/3/30, 14, 13
2021/3/31, 18, 15
2021/4/1, 27, 11
2020/10/2, 62, 10
2020/10/3, 65, 4
2020/10/4, 38, 3
2020/10/5, 36, 4
2020/10/6, 38, 2
2020/10/7, 40, 5
2020/10/8, 31, 3
2020/10/9, 35, 
2020/10/10, 32, 8
2020/10/11, 38, 3
2020/10/12, 47, 7
2020/10/13, 57, 10
2020/10/14, 59, 6
2020/10/15, 61, 6
2020/10/16, 62, 5
2020/10/17, 60, 6
2020/10/18, 57, 5
2020/10/19, 59, 6
2020/10/20, 51, 5
2020/10/21, 57, 5
2020/10/22, 55, 
2020/10/23, 47, 5
2020/10/24, 51, 11
2020/10/25, 247, 12
2020/10/26, 198, 11
2020/10/27, 64, 4
2020/10/28, 71, 1
2020/10/29, 69, 
2020/12/1, 40, 9
2020/12/2, 48, 17
2020/12/3, 37, 20
2020/12/4, 36, 27
2020/12/5, 48, 12
2020/12/6, 35, 9
2020/12/7, 27, 17
2020/12/8, 27, 18
2020/12/9, 42, 9
2020/12/10, 39, 
2020/12/11, 36, 17
2020/12/12, 32, 18
2020/12/13, 40, 10
2020/12/14, 36, 
2020/12/15, 31, 
2020/12/16, 19, 
2020/12/19, 46, 
2020/12/20, 23, 
2020/12/22, 49, 6
2020/12/23, 41, 10
2020/12/24, 30, 14
2020/12/25, 20, 8
2020/12/26, 21, 
2020/12/27, 21, 29
2020/12/28, 18, 34
2020/12/29, 30, 31
2020/12/30, 39, 15
2020/12/31, 42, 27
2021/1/1, 44, 26
2021/1/2, 45, 23
2021/1/3, 40, 12
2021/1/4, 39, 12
2020/7/4, 5, 
2020/7/5, 3, 
2020/7/9, 4, 
2020/7/10, 3, 5
2020/7/11, 4, 5
2020/7/12, 6, 
2020/7/13, 7, 
2020/7/15, 3, 
2020/7/16, 5, 
2020/7/21, 4, 6
2020/7/22, 4, 5
2020/7/23, 3, 
2020/7/24, 3, 
2020/7/28, 6, 6
2020/7/29, 4, 8
2020/7/30, 4, 3
2020/7/31, 4, 3
2020/8/1, 4, 6
2020/8/2, 4, 4
2020/8/3, 4, 2
2020/8/4, 3, 3
2020/8/5, 4, 2
2020/8/6, 3, 1
2020/8/7, 4, 3
2020/8/8, 4, 4
2020/8/9, 4, 6
2020/8/10, 4, 4
2020/8/11, 3, 
2020/8/12, 4, 
2020/8/14, 3, 2
2020/8/15, 4, 2
2020/8/16, 3, 
2020/8/17, 4, 10
2020/8/18, 4, 6
2020/8/19, 4, 4
2020/8/20, 3, 6
2020/8/21, 3, 5
2020/8/22, 3, 1
2020/8/23, 3, 2
2020/8/24, 3, 2
2020/8/25, 3, 1
2020/8/26, 4, 4
2020/8/27, 4, 5
2020/8/28, 4, 5
2020/8/29, 4, 5
2020/8/30, 3, 5
2020/8/31, 4, 7
2020/9/1, 4, 11
2020/9/2, 3, 4
2020/9/3, 3, 2
2020/9/4, 4, 3
2020/9/5, 3, 11
2020/9/6, 4, 7
2020/9/7, 6, 3
2020/9/8, 3, 3
2020/9/9, 3, 4
2020/9/10, 4, 4
2020/9/11, 4, 3
2020/9/12, 4, 7
2020/9/13, 4, 9
2020/9/14, 4, 4
2020/9/15, 4, 3
2020/9/16, 4, 3
2020/9/17, 5, 7
2020/9/18, 8, 11
2020/9/19, 11, 6
2020/9/20, 12, 
2020/9/21, 14, 7
2020/9/22, 18, 10
2020/9/23, 50, 5
2020/9/24, 49, 7
2020/9/25, 53, 6
2020/9/26, 60, 7
2020/9/27, 60, 4
2020/9/28, 49, 3
2020/9/29, 60, 1
2020/9/30, 59, 11
2020/10/1, 46, 5
2020/4/2, 16, 1
2020/4/3, 15, 5
2020/4/4, 17, 7
2020/4/5, 13, 9
2020/4/6, 8, 12
2020/4/7, 19, 9
2020/4/8, 40, 9
2020/4/9, 41, 3
2020/4/10, 30, 
2020/4/11, 22, 
2020/4/12, 17, 4
2020/4/13, 4, 6
2020/4/14, 3, 3
2020/4/15, 3, 7
2020/4/16, 3, 6
2020/4/17, 3, 3
2020/4/18, 3, 4
2020/4/19, 3, 3
2020/4/20, 3, 5
2020/4/21, 3, 4
2020/4/22, 3, 6
2020/4/23, 3, 3
2020/4/24, 3, 4
2020/4/25, 3, 2
2020/4/26, 3, 1
2020/4/27, 2, 4
2020/4/28, 3, 4
2020/4/29, 4, 8
2020/4/30, 4, 4
2020/5/1, 5, 6
2020/5/2, 3, 4
2020/5/3, 3, 2
2020/5/4, 3, 4
2020/5/5, 3, 6
2020/5/6, 3, 
2020/5/7, 3, 
2020/5/15, 4, 4
2020/5/16, 5, 5
2020/5/17, 4, 5
2020/5/18, 5, 4
2020/5/19, 4, 5
2020/5/20, 4, 4
2020/5/21, 5, 4
2020/5/22, 5, 3
2020/5/23, 5, 6
2020/5/24, 4, 7
2020/5/25, 5, 2
2020/5/26, 4, 4
2020/5/27, 3, 7
2020/5/28, 5, 12
2020/5/29, 4, 
2020/5/30, 9, 
2020/6/5, 4, 5
2020/6/6, 4, 3
2020/6/7, 4, 
2020/6/8, 6, 
2020/6/9, 5, 
2020/6/10, 5, 
2020/6/11, 6, 
2020/6/12, 5, 
2020/6/13, 5, 
2020/6/14, 9, 
2020/6/15, 5, 
2020/6/16, 5, 
2020/6/17, 8, 
2020/1/2, 49, 3
2020/1/3, 32, 10
2020/1/4, 22, 11
2020/1/5, 31, 3
2020/1/6, 22, 7
2020/1/7, 23, 5
2020/1/8, 29, 9
2020/1/9, 41, 8
2020/1/10, 21, 7
2020/1/11, 26, 
2020/1/12, 17, 
2020/1/13, 14, 
2020/1/22, 35, 3
2020/1/23, 26, 
2020/1/24, 10, 5
2020/1/25, 22, 6
2020/1/26, 15, 1
2020/1/27, 23, 10
2020/1/28, 27, 31
2020/1/29, 58, 17
2020/1/30, 45, 7
2020/1/31, 41, 4
2020/2/1, 37, 5
2020/2/2, 19, 3
2020/2/3, 26, 
2020/2/4, 15, 
2020/2/6, 34, 18
2020/2/7, 37, 7
2020/2/8, 46, 3
2020/2/9, 18, 8
2020/2/10, 14, 6
2020/2/11, 24, 4
2020/2/12, 30, 12
2020/2/13, 34, 7
2020/2/14, 44, 8
2020/2/15, 36, 12
2020/2/16, 38, 8
2020/2/17, 36, 
2020/2/18, 25, 
2020/2/29, 49, 7
2020/3/1, 66, 10
2020/3/2, 47, 5
2020/3/3, 12, 14
2020/3/4, 30, 5
2020/3/5, 26, 8
2020/3/6, 28, 7
2020/3/7, 40, 10
2020/3/8, 55, 5
2020/3/9, 55, 6
2020/3/10, 46, 9
2020/3/11, 48, 10
2020/3/12, 48, 8
2020/3/13, 56, 11
2020/3/14, 56, 10
2020/3/15, 44, 11
2020/3/16, 35, 9
2020/3/17, 33, 7
2020/3/18, 38, 3
2020/3/19, 32, 5
2020/3/20, 11, 8
2020/3/21, 10, 5
2020/3/22, 17, 3
2020/3/23, 22, 3
2020/3/24, 17, 8
2020/3/25, 24, 6
2020/3/26, 30, 6
2020/3/27, 31, 6
2020/3/28, 32, 5
2020/3/29, 25, 2
2020/3/30, 22, 
2019/10/2, 44, 4
2019/10/3, 51, 7
2019/10/4, 62, 3
2019/10/5, 59, 6
2019/10/6, 53, 4
2019/10/7, 70, 4
2019/10/8, 53, 4
2019/10/9, 50, 8
2019/10/10, 78, 5
2019/10/11, 61, 9
2019/10/12, 61, 3
2019/10/13, 58, 3
2019/10/14, 43, 4
2019/10/15, 46, 3
2019/10/16, 37, 4
2019/10/17, 50, 3
2019/10/18, 66, 14
2019/10/19, 51, 6
2019/10/20, 47, 4
2019/10/21, 24, 4
2019/10/22, 4, 4
2019/10/23, 3, 9
2019/10/24, 2, 18
2019/10/25, 3, 36
2019/10/26, 3, 5
2019/10/27, 3, 12
2019/10/28, 3, 17
2019/10/29, 3, 10
2019/10/30, 2, 4
2019/10/31, 2, 4
2019/11/1, 3, 5
2019/11/2, 8, 3
2019/11/3, 23, 3
2019/11/4, 14, 6
2019/11/5, 28, 5
2019/11/6, 20, 
2019/11/7, 32, 5
2019/11/8, 29, 3
2019/11/9, 25, 
2019/11/11, 44, 16
2019/11/12, 40, 8
2019/11/13, 40, 13
2019/11/14, 34, 20
2019/11/15, 41, 17
2019/11/16, 70, 6
2019/11/17, 58, 5
2019/11/18, 57, 5
2019/11/19, 50, 5
2019/11/20, 35, 5
2019/11/21, 37, 6
2019/11/22, 53, 7
2019/11/23, 66, 8
2019/11/24, 55, 9
2019/11/25, 50, 18
2019/11/26, 62, 12
2019/11/27, 71, 15
2019/11/28, 68, 4
2019/11/29, 60, 5
2019/11/30, 43, 4
2019/12/1, 38, 4
2019/12/2, 40, 6
2019/12/3, 46, 4
2019/12/4, 14, 
2019/12/5, 9, 
2019/12/8, 21, 10
2019/12/9, 30, 4
2019/12/10, 27, 2
2019/12/11, 21, 
2019/12/12, 13, 
2019/12/14, 24, 8
2019/12/15, 27, 6
2019/12/16, 47, 3
2019/12/17, 63, 
2019/12/18, 63, 
2019/12/20, 17, 3
2019/12/21, 17, 17
2019/12/22, 21, 19
2019/12/23, 59, 15
2019/12/24, 48, 18
2019/12/25, 41, 11
2019/12/26, 50, 5
2019/12/27, 85, 5
2019/12/28, 95, 4
2019/12/29, 26, 3
2019/12/30, 20, 
2019/7/2, 51, 4
2019/7/3, 50, 3
2019/7/4, 60, 3
2019/7/5, 59, 4
2019/7/6, 53, 3
2019/7/7, 52, 3
2019/7/8, 53, 4
2019/7/9, 45, 3
2019/7/10, 41, 2
2019/7/11, 34, 2
2019/7/12, 31, 3
2019/7/13, 63, 4
2019/7/14, 45, 5
2019/7/15, 23, 5
2019/7/16, 40, 3
2019/7/17, 35, 6
2019/7/18, 34, 7
2019/7/19, 53, 8
2019/7/20, 35, 2
2019/7/21, 36, 2
2019/7/22, 41, 1
2019/7/23, 49, 
2019/7/25, 62, 
2019/7/26, 50, 
2019/7/31, 56, 
2019/8/5, 36, 1
2019/8/6, 56, 3
2019/8/7, 45, 
2019/8/10, 60, 4
2019/8/11, 52, 3
2019/8/12, 58, 5
2019/8/13, 52, 4
