date, pm10, o3, no2, so2, co
2020/7/28, 14, 21, 8, 6, 1
2020/7/29, 26, 15, 7, 6, 2
2020/7/30, 20, 18, 5, 5, 2
2020/7/31, 17, 15, 4, 6, 1
2020/8/1, 25, 12, 5, 6, 
2020/8/2, 26, 16, 5, 5, 2
2020/8/3, 30, 17, 5, 4, 1
2020/8/4, 25, 6, 9, 7, 2
2020/8/5, 34, , , , 
2020/8/7, 33, 15, 4, 3, 2
2020/8/8, 30, 13, 3, 5, 2
2020/8/9, 19, 14, 3, 3, 2
2020/8/10, 15, 13, 5, 3, 2
2020/8/11, 22, 12, 3, 5, 2
2020/8/12, 21, 14, 3, 4, 1
2020/8/13, 26, 17, 4, 7, 1
2020/8/14, 32, 19, 5, 6, 1
2020/8/15, 32, 17, 6, 6, 2
2020/8/16, 32, 13, 3, 6, 4
2020/8/17, 26, 12, 4, 6, 2
2020/8/18, 27, 15, 4, 7, 2
2020/8/19, 310, 16, 5, 6, 2
2020/8/20, 485, 22, 10, 6, 2
2020/8/21, 32, 26, 9, 7, 3
2020/8/22, 43, 23, 6, 8, 3
2020/8/23, 28, 21, 5, 8, 3
2020/8/24, 32, 18, 1, 5, 2
2020/8/25, 21, 17, 1, 5, 1
2020/8/26, 21, 13, 1, 5, 1
2020/8/27, 11, 16, 2, 5, 2
2020/8/28, 17, 21, 3, 7, 2
2020/8/29, 22, 19, 2, 7, 2
2020/8/30, 27, 24, 2, 7, 2
2020/8/31, 26, 14, 3, 7, 2
2020/9/1, 17, 11, 4, 8, 2
2020/9/2, 23, 25, 3, 7, 2
2020/9/3, 36, 19, 2, 4, 2
2020/9/4, 40, 13, 2, 6, 2
2020/9/5, 34, 13, 1, 7, 1
2020/9/6, 20, 13, 1, 5, 2
2020/9/7, 10, 16, 2, 6, 2
2020/9/8, 12, 25, 4, 9, 3
2020/9/9, 31, 23, 4, 10, 3
2020/9/10, 23, 15, 1, 6, 2
2020/9/11, 19, 14, 1, 7, 2
2020/9/12, 15, 16, 3, 6, 2
2020/9/13, 19, 19, 2, 6, 1
2020/9/14, 18, 21, 4, 7, 3
2020/9/15, 32, 16, 5, 6, 4
2020/9/16, 20, 17, 4, 6, 3
2020/9/17, 26, 17, 3, 5, 2
2020/9/18, 24, 19, 2, 6, 2
2020/9/19, 17, 16, 4, 8, 3
