date, pm25, pm10, o3, no2
2022/12/20, 19, 9, 18, 15
2022/12/21, 27, 11, 9, 21
2022/12/22, 39, 8, 22, 13
2022/12/23, 23, 7, 27, 4
2022/12/24, 19, 7, 23, 8
2022/12/25, 23, 6, 28, 8
2022/12/26, 26, 5, 26, 8
2022/12/27, 19, 6, 24, 11
2022/12/28, 23, 11, 20, 18
2022/12/29, 35, 10, 29, 10
2022/12/30, 31, 5, 27, 4
2022/12/31, 20, 9, 25, 7
2023/1/1, 28, 14, 15, 11
2023/1/2, 45, , , 
2022/7/2, 56, 12, 30, 3
2022/7/3, 25, 10, 12, 1
2022/7/4, 13, 11, 7, 10
2022/7/5, 24, 6, 13, 5
2022/7/6, 11, 13, 28, 6
2022/7/7, 26, 18, 51, 8
2022/7/8, 43, 18, 46, 7
2022/7/9, 40, 18, 33, 6
2022/7/10, 36, 9, 25, 3
2022/7/11, 17, 12, 36, 7
2022/7/12, 30, 10, 17, 6
2022/7/13, 16, 11, 32, 5
2022/7/14, 20, 15, 27, 9
2022/7/15, 32, 14, 25, 10
2022/7/16, 30, 17, 28, 8
2022/7/17, 29, 12, 44, 4
2022/7/18, 29, 22, 53, 6
2022/7/19, 52, 14, 29, 10
2022/7/20, 23, 12, 39, 2
2022/7/21, 30, 21, 53, 9
2022/7/22, 53, 17, 62, 6
2022/7/23, 43, 9, 29, 1
2022/7/24, 16, 12, 38, 2
2022/7/25, 29, 15, 66, 7
2022/7/26, 40, 17, 39, 7
2022/7/27, 41, 10, 19, 6
2022/7/28, 17, 12, 20, 5
2022/7/29, 18, 12, 20, 5
2022/7/30, 20, 14, 16, 4
2022/7/31, 20, 14, 22, 3
2022/8/1, 24, 21, 29, 5
2022/8/2, 39, 16, 32, 4
2022/8/3, 35, 16, 28, 4
2022/8/4, 42, 9, 16, 8
2022/8/5, 16, 14, 41, 7
2022/8/6, 31, 16, 32, 4
2022/8/7, 36, 15, 43, 3
2022/8/8, 31, 20, 25, 5
2022/8/9, 38, 33, 31, 5
2022/8/10, 60, 19, 28, 5
2022/8/11, 39, 10, 21, 3
2022/8/12, 17, 13, 16, 3
2022/8/13, 16, 11, 35, 2
2022/8/14, 20, 15, 43, 2
2022/8/15, 36, 25, 38, 5
2022/8/16, 55, 22, 29, 4
2022/8/17, 45, 10, 29, 7
2022/8/18, 21, 8, 38, 5
2022/8/19, 17, 11, 43, 5
2022/8/20, 28, 23, 56, 8
2022/8/21, 53, 15, 46, 3
2022/8/22, 35, 21, 42, 6
2022/8/23, 47, 21, 41, 8
2022/8/24, 43, 17, 40, 6
2022/8/25, 40, 21, 36, 10
2022/8/26, 42, 13, 37, 11
2022/8/27, 27, 21, 49, 7
2022/8/28, 50, 15, 38, 2
2022/8/29, 36, 14, 51, 7
2022/8/30, 36, 13, 35, 8
2022/8/31, 29, 15, 12, 3
2022/9/1, 20, 12, 15, 7
2022/9/2, 17, 7, 37, 6
2022/9/3, 16, 13, 31, 7
2022/9/4, 24, 14, 30, 4
2022/9/5, 29, 12, 22, 3
2022/9/6, 20, 11, 12, 2
2022/9/7, 12, 9, 33, 4
2022/9/8, 17, 10, 27, 7
2022/9/9, 22, 10, 29, 7
2022/9/10, 23, 10, 34, 5
2022/9/11, 23, 17, 58, 5
2022/9/12, 41, 15, 47, 8
2022/9/13, 35, 18, 63, 11
2022/9/14, 44, 21, 59, 8
2022/9/15, 48, 22, 42, 6
2022/9/16, 52, 16, 40, 4
2022/9/17, 38, 12, 25, 5
2022/9/18, 27, 16, 15, 3
2022/9/19, 23, 37, 22, 1
2022/9/20, 45, 14, 25, 2
2022/9/21, 19, 8, 23, 5
2022/9/22, 16, 13, 18, 12
2022/9/23, 34, 11, 8, 10
2022/9/24, 26, 11, 37, 2
2022/9/25, 25, 14, 39, 5
2022/9/26, 31, 19, 47, 9
2022/9/27, 46, 23, 54, 10
2022/9/28, 53, 14, 34, 7
2022/9/29, 31, 11, 27, 9
2022/9/30, 32, 18, 54, 12
2022/10/1, 48, 18, 47, 8
2022/4/2, 20, 12, 37, 9
2022/4/3, 38, 9, 34, 5
2022/4/4, 30, 7, 39, 6
2022/4/5, 17, 10, 39, 8
2022/4/6, 25, 15, 56, 11
2022/4/7, 40, 23, 66, 12
2022/4/8, 58, 19, 47, 6
2022/4/9, 44, 21, 57, 14
2022/4/10, 54, 25, 62, 9
2022/4/11, 60, 24, 42, 9
2022/4/12, 59, 23, 47, 11
2022/4/13, 55, 17, 42, 9
2022/4/14, 44, 18, 29, 11
2022/4/15, 46, 7, 28, 7
2022/4/16, 16, 7, 36, 2
2022/4/17, 17, 11, 30, 7
2022/4/18, 31, 9, 25, 12
2022/4/19, 27, 17, 49, 9
2022/4/20, 50, 23, 53, 14
2022/4/21, 63, 20, 44, 12
2022/4/22, 56, 11, 43, 7
2022/4/23, 31, 23, 53, 10
2022/4/24, 59, 27, 31, 9
2022/4/25, 65, 18, 44, 11
2022/4/26, 47, 13, 31, 7
2022/4/27, 26, 10, 34, 5
2022/4/28, 19, 23, 41, 8
2022/4/29, 42, , , 
2022/5/1, 17, 9, 38, 3
2022/5/2, 22, 12, 46, 4
2022/5/3, 30, 12, 44, 3
2022/5/4, 34, 17, 56, 9
2022/5/5, 54, 20, 66, 9
2022/5/6, 56, 15, 43, 6
2022/5/7, 40, 13, 49, 6
2022/5/8, 35, 11, 41, 2
2022/5/9, 22, 10, 27, 12
2022/5/10, 26, 10, 39, 11
2022/5/11, 30, 15, 53, 11
2022/5/12, 42, 14, 30, 9
2022/5/13, 33, 8, 17, 11
2022/5/14, 17, 8, 41, 5
2022/5/15, 20, 12, 38, 4
2022/5/16, 30, 16, 36, 14
2022/5/17, 43, 25, 32, 20
2022/5/18, 65, 24, 66, 14
2022/5/19, 65, 25, 74, 13
2022/5/20, 64, 26, 73, 17
2022/5/21, 67, 24, 40, 15
2022/5/22, 63, 17, 64, 4
2022/5/23, 51, 16, 57, 3
2022/5/24, 44, 19, 50, 9
2022/5/25, 48, 15, 50, 5
2022/5/26, 37, 15, 36, 4
2022/5/27, 38, 8, 55, 3
2022/5/28, 22, 13, 50, 3
2022/5/29, 34, 14, 67, 6
2022/5/30, 43, 19, 60, 11
2022/5/31, 49, 11, 46, 4
2022/6/1, 30, 12, 43, 8
2022/6/2, 33, 16, 52, 11
2022/6/3, 47, 14, 55, 5
2022/6/4, 40, 12, 51, 4
2022/6/5, 35, 16, 42, 5
2022/6/6, 39, 7, 38, 4
2022/6/7, 14, 3, 30, 2
2022/6/8, 9, 4, 34, 4
2022/6/9, 10, 11, 41, 9
2022/6/10, 31, 12, 40, 6
2022/6/11, 31, 10, 33, 5
2022/6/12, 24, 12, 35, 4
2022/6/13, 30, 12, 43, 5
2022/6/14, 30, 8, 30, 7
2022/6/15, 21, 6, 28, 8
2022/6/16, 14, 16, 44, 11
2022/6/17, 37, 25, 62, 9
2022/6/18, 61, 18, 31, 11
2022/6/19, 42, 12, 43, 6
2022/6/20, 29, 22, 47, 9
2022/6/21, 54, 22, 18, 13
2022/6/22, 44, 15, 27, 9
2022/6/23, 27, 24, 38, 9
2022/6/24, 49, 24, 21, 3
2022/6/25, 45, 21, 36, 5
2022/6/26, 44, 17, 31, 7
2022/6/27, 44, 18, 38, 6
2022/6/28, 48, 17, 44, 7
2022/6/29, 45, 16, 41, 8
2022/6/30, 41, 19, 30, 5
2022/7/1, 49, 20, 48, 6
2022/10/31, , 18, 28, 14
2022/4/1, , 6, 38, 4
2022/4/30, , 8, 44, 2
