date, pm25, pm10, o3, no2, so2
2020/7/2, 20, 5, 23, 5, 4
2020/7/3, 23, 10, 18, 4, 2
2020/7/4, 27, 16, 39, 3, 4
2020/7/5, 44, 9, 9, 4, 
2020/7/6, 22, 15, 6, 5, 1
2020/7/7, 35, 10, 45, 6, 4
2020/7/8, 33, 8, 18, 6, 3
2020/7/9, 18, 15, 11, 5, 2
2020/7/10, 36, 14, 15, 4, 2
2020/7/11, 33, 9, 30, 2, 3
2020/7/12, 26, 9, 18, 4, 5
2020/7/13, 22, 10, 12, 7, 2
2020/7/14, 23, 7, 23, 6, 2
2020/7/15, 28, 8, 31, 4, 4
2020/7/16, 19, 10, 26, 5, 3
2020/7/17, 27, 10, 32, 3, 2
2020/7/18, 31, 17, 42, 2, 3
2020/7/19, 34, 24, 38, 2, 3
2020/7/20, 60, 22, 55, 4, 3
2020/7/21, 64, 20, 33, 4, 11
2020/7/22, 35, 17, 29, , 10
2020/7/23, 24, 17, 35, 3, 8
2020/7/24, 29, 12, 17, 3, 7
2020/7/25, 30, 13, 13, 3, 6
2020/7/26, 22, 11, 16, 6, 6
2020/7/27, 24, 15, 14, 7, 5
2020/7/28, 36, 13, 26, 5, 2
2020/7/29, 28, 17, 36, 7, 3
2020/7/30, 38, 17, 29, 4, 2
2020/7/31, 35, 14, 37, 2, 3
2020/8/1, 28, 22, 50, 2, 3
2020/8/2, 49, 22, 52, 4, 2
2020/8/3, 52, 28, 42, 4, 4
2020/8/4, 59, 38, 64, 6, 5
2020/8/5, 80, 40, 53, 7, 5
2020/8/6, 84, 31, 33, 4, 4
2020/8/7, 66, 44, 33, 3, 7
2020/8/8, 88, 35, 29, 1, 3
2020/8/9, 69, 23, 29, 1, 3
2020/8/10, 46, 12, 25, 1, 2
2020/8/11, 30, 11, 20, 1, 1
2020/8/12, 33, 13, 19, 1, 1
2020/8/13, 26, 17, 22, 1, 3
2020/8/14, 24, 16, 30, 1, 2
2020/8/15, 35, 20, 32, 1, 4
2020/8/16, 32, 21, 25, 1, 4
2020/8/17, 43, 22, 30, 2, 
2020/8/18, 36, 23, 54, 4, 4
2020/8/19, 44, 29, 70, 5, 5
2020/8/20, 57, 23, 59, 4, 3
2020/8/21, 50, 20, 41, 1, 4
2020/8/22, 44, 13, 31, 1, 4
2020/8/23, 34, 21, 39, 2, 6
2020/8/24, 42, 23, 60, 4, 5
2020/8/25, 46, 23, 65, 4, 4
2020/8/26, 44, 16, 31, 4, 4
2020/8/27, 36, 11, 14, 2, 2
2020/8/28, 22, 17, 32, 2, 4
2020/8/29, 33, 19, 39, 1, 2
2020/8/30, 34, 15, 31, 1, 2
2020/8/31, 31, 14, 25, 5, 2
