date, pm25, pm10, no2, co
2022/12/19, 16, 4, 4, 2
2022/12/20, 13, 5, 2, 1
2022/12/21, 16, 10, 6, 2
2022/12/22, 31, 9, 9, 2
2022/12/23, 21, 7, 1, 1
2022/12/24, 20, 7, 5, 2
2022/12/25, 16, 8, 4, 1
2022/12/26, 15, 7, 4, 2
2022/12/27, 13, 9, 5, 2
2022/12/28, 18, 11, 5, 1
2022/12/29, 22, 9, 1, 
2022/12/30, 26, 8, 1, 1
2022/12/31, 18, 9, 1, 2
2023/1/1, 22, 9, 1, 1
2023/1/2, 19, , , 
2022/7/2, 11, 13, 1, 
2022/7/3, 21, 14, 1, 
2022/7/4, 20, 16, 1, 
2022/7/5, 31, 20, 1, 
2022/7/6, 44, 19, 1, 
2022/7/7, 36, 9, 1, 
2022/7/8, 16, 12, 1, 
2022/7/9, 20, 9, 1, 
2022/7/10, 7, 10, 2, 
2022/7/11, 13, 15, 1, 1
2022/7/12, 28, 14, 1, 
2022/7/13, 27, 11, 1, 
2022/7/14, 12, 16, 1, 
2022/7/15, 26, 15, 1, 
2022/7/16, 20, 11, 1, 
2022/7/17, 9, 11, 1, 
2022/7/18, 9, 15, 1, 
2022/7/19, 24, 19, 1, 1
2022/7/20, 32, 10, 1, 1
2022/7/21, 12, 12, 1, 1
2022/7/22, 31, 12, 1, 1
2022/7/23, 27, 8, 1, 1
2022/7/24, 8, 13, 1, 
2022/7/25, 25, 14, 1, 1
2022/7/26, 28, 19, 1, 1
2022/7/27, 35, 24, 1, 1
2022/7/28, 47, 12, 1, 
2022/7/29, 16, 18, 1, 1
2022/7/30, 37, 18, 1, 1
2022/7/31, 34, 18, 1, 
2022/8/1, 30, 15, 1, 1
2022/8/2, 18, 14, 1, 1
2022/8/3, 16, 10, 1, 
2022/8/4, 8, 11, 1, 
2022/8/5, 17, 12, 1, 
2022/8/6, 24, 15, 1, 
2022/8/7, 23, 22, 1, 
2022/8/8, 36, 23, 1, 
2022/8/9, 38, 15, 2, 1
2022/8/10, 13, 12, 2, 1
2022/8/11, 11, 14, 1, 
2022/8/12, 17, 16, 1, 1
2022/8/13, 18, 12, 1, 1
2022/8/14, 16, 13, 1, 
2022/8/15, 22, 18, 1, 1
2022/8/16, 35, 17, 1, 
2022/8/17, 16, 18, 1, 
2022/8/18, 23, 14, 1, 
2022/8/19, 20, 13, 1, 
2022/8/20, 15, 15, 1, 
2022/8/21, 14, 14, 1, 
2022/8/22, 17, 18, 1, 1
2022/8/23, 32, 17, 1, 
2022/8/24, 24, 14, 1, 1
2022/8/25, 22, 17, 1, 1
2022/8/26, 25, 20, 1, 1
2022/8/27, 35, 21, 1, 1
2022/8/28, 33, 15, 1, 
2022/8/29, 19, 14, 1, 
2022/8/30, 16, 15, 1, 1
2022/8/31, 37, 8, 1, 1
2022/9/1, 10, 7, 1, 1
2022/9/2, 9, 9, 1, 1
2022/9/3, 18, 11, 1, 1
2022/9/4, 21, 13, 1, 
2022/9/5, 24, 13, 1, 
2022/9/6, 21, 13, 1, 
2022/9/7, 18, 14, 1, 
2022/9/8, 26, 14, 1, 
2022/9/9, 30, 15, 1, 
2022/9/10, 32, 14, 1, 
2022/9/11, 29, 18, 1, 
2022/9/12, 42, 19, 1, 1
2022/9/13, 45, 19, 1, 
2022/9/14, 33, 13, 1, 1
2022/9/15, 26, 13, 1, 
2022/9/16, 27, 17, 1, 1
2022/9/17, 39, 22, 1, 1
2022/9/18, 51, 22, 1, 
2022/9/19, 44, 15, 1, 
2022/9/20, 23, 10, 1, 
2022/9/21, 13, 11, 1, 
2022/9/22, 21, 11, 1, 
2022/9/23, 14, 15, 1, 
2022/9/24, 25, 13, 1, 
2022/9/25, 22, 12, 1, 
2022/9/26, 19, 14, 1, 
2022/9/27, 28, 14, 1, 
2022/9/28, 27, 17, 1, 2
2022/9/29, 39, 18, 1, 
2022/9/30, 40, 25, 1, 1
2022/10/1, 57, 36, 2, 1
2022/4/2, 26, 10, 3, 1
2022/4/3, 30, 15, 3, 1
2022/4/4, 42, 19, 3, 1
2022/4/5, 53, 19, 3, 1
2022/4/6, 47, 13, 1, 
2022/4/7, 28, 12, 1, 1
2022/4/8, 35, 11, 2, 1
2022/4/9, 22, 15, 1, 1
2022/4/10, 43, 27, 1, 1
2022/4/11, 58, 25, 1, 1
2022/4/12, 57, 30, 2, 1
2022/4/13, 74, 14, 1, 1
2022/4/14, 30, 10, 1, 1
2022/4/15, 18, 7, 1, 1
2022/4/16, 9, 10, 1, 1
2022/4/17, 24, 14, 1, 1
2022/4/18, 37, 17, 2, 1
2022/4/19, 51, 18, 3, 
2022/4/20, 50, 20, 4, 1
2022/4/21, 53, 25, 3, 1
2022/4/22, 59, 22, 3, 
2022/4/23, 59, 19, 2, 
2022/4/24, 44, 16, 2, 
2022/4/25, 33, 29, 2, 1
2022/4/26, 65, 34, 4, 1
2022/4/27, 64, 16, 1, 
2022/4/28, 26, 13, 2, 
2022/4/29, 33, 14, 2, 
2022/4/30, 31, 11, 2, 
2022/5/1, 27, 11, 1, 
2022/5/2, 21, 12, 1, 1
2022/5/3, 21, 12, 1, 1
2022/5/4, 25, 21, 2, 1
2022/5/5, 51, 26, 2, 1
2022/5/6, 58, 26, 2, 1
2022/5/7, 67, 23, 1, 1
2022/5/8, 56, 12, 1, 
2022/5/9, 21, 14, 1, 
2022/5/10, 26, 14, 1, 
2022/5/11, 24, 20, 2, 
2022/5/12, 42, 19, 2, 
2022/5/13, 45, 19, 2, 
2022/5/14, 48, 19, 2, 
2022/5/15, 30, 14, 2, 
2022/5/16, 30, 16, 1, 
2022/5/17, 35, 14, 1, 
2022/5/18, 40, 16, 1, 
2022/5/19, 38, 20, 1, 1
2022/5/20, 55, 23, 1, 1
2022/5/21, 57, 24, 1, 
2022/5/22, 62, 22, 1, 
2022/5/23, 62, 16, 2, 1
2022/5/24, 43, 19, 1, 1
2022/5/25, 50, 20, 1, 1
2022/5/26, 49, 20, 1, 1
2022/5/27, 56, 16, 2, 1
2022/5/28, 33, 12, 1, 
2022/5/29, 20, 11, 1, 
2022/5/30, 20, 11, 1, 
2022/5/31, 16, 10, 1, 
2022/6/1, 13, 10, 1, 
2022/6/2, 7, 13, 1, 
2022/6/3, 24, 13, 1, 
2022/6/4, 23, 10, 1, 
2022/6/5, 15, 9, 1, 
2022/6/6, 15, 8, 1, 
2022/6/7, 11, 6, 1, 1
2022/6/8, 9, 11, 1, 
2022/6/9, 24, 13, 1, 1
2022/6/10, 31, 14, 1, 1
2022/6/11, 27, 12, 1, 
2022/6/12, 21, 12, , 
2022/6/13, 22, 9, 1, 
2022/6/14, 15, 12, 1, 1
2022/6/15, 21, 14, 1, 1
2022/6/16, 30, 10, 1, 1
2022/6/17, 17, 15, 1, 1
2022/6/18, 32, 24, 1, 1
2022/6/19, 53, 30, 1, 1
2022/6/20, 61, 18, 1, 
2022/6/21, 41, 20, 1, 
2022/6/22, 51, 18, 1, 
2022/6/23, 41, 21, 1, 
2022/6/24, 51, 12, 1, 
2022/6/25, 22, 14, 1, 
2022/6/26, 32, 16, 1, 
2022/6/27, 34, 16, 1, 
2022/6/28, 30, 16, 1, 
2022/6/29, 24, 18, , 
2022/6/30, 28, 14, 1, 
2022/7/1, 25, 9, 1, 
2022/11/20, , 12, 3, 1
2022/4/1, , 9, 1, 1
