date, pm25, o3, no2, so2, co
2023/3/14, 71, 30, , , 7
2023/3/15, 73, 35, , , 9
2023/3/16, 59, 37, , , 9
2023/3/17, 50, 34, , , 7
2023/3/18, 38, 28, , , 9
2023/3/19, 58, 31, , , 10
2023/3/20, 64, 41, , , 8
2023/3/21, 41, 33, , , 9
2023/3/22, 61, 48, , , 14
2023/3/23, 74, 49, , , 12
2023/3/24, 77, 33, , , 9
2023/3/25, 43, 38, , , 9
2023/3/26, 46, 34, , , 11
2023/3/27, 65, 38, , , 9
2023/3/28, 48, 41, , , 11
2023/3/29, 95, 35, , , 11
2023/3/30, 69, , , , 
2023/4/1, 64, 37, , , 10
2022/10/2, 48, 38, , , 7
2022/10/3, 45, 37, , , 12
2022/10/4, 59, 30, , , 11
2022/10/5, 44, 23, , , 10
2022/10/6, 57, 21, , , 11
2022/10/7, 29, 19, , , 8
2022/10/8, 25, 21, , , 8
2022/10/9, 26, 31, , , 10
2022/10/10, 19, 31, , , 9
2022/10/11, 34, 30, , , 9
2022/10/12, 33, 30, , , 10
2022/10/13, 37, 31, , , 8
2022/10/14, 42, 30, , , 9
2022/10/15, 52, 32, , , 10
2022/10/16, 51, 46, , , 10
2022/10/17, 60, 53, , , 11
2022/10/18, 55, 19, , , 7
2022/10/19, 33, 24, , , 9
2022/10/20, 23, 28, , , 7
2022/10/21, 53, 32, , , 9
2022/10/22, 47, 42, , , 11
2022/10/23, 56, 15, , , 8
2022/10/24, 44, 21, , , 8
2022/10/25, 13, 38, , , 8
2022/10/26, 36, 28, , , 10
2022/10/27, 58, 22, , , 12
2022/10/28, 49, 25, , , 11
2022/10/29, 34, 47, , , 10
2022/10/30, 68, 30, , , 10
2022/10/31, 369, 27, , , 10
2022/11/1, 814, 5, , , 13
2022/11/2, 814, 34, , , 9
2022/11/3, 814, 46, , , 10
2022/11/4, 814, 37, , , 11
2022/11/5, 622, 28, , , 12
2022/11/6, 73, 48, , , 8
2022/11/7, 62, 28, , , 6
2022/11/8, 55, 20, , , 6
2022/11/9, 40, 36, , , 8
2022/11/10, 56, 36, , , 14
2022/11/11, 60, 33, , , 11
2022/11/12, 42, 42, , , 10
2022/11/13, 73, 40, , , 8
2022/11/14, 61, 31, , , 10
2022/11/15, 56, 31, , , 9
2022/11/16, 62, 34, , , 10
2022/11/17, 62, 28, , , 10
2022/11/18, 46, 32, , , 6
2022/11/19, 60, 36, , , 10
2022/11/20, 70, 22, , , 7
2022/11/21, 27, 18, , , 12
2022/11/22, 35, 22, , , 9
2022/11/23, 45, 33, , , 10
2022/11/24, 70, 21, , , 14
2022/11/25, 62, 20, , , 13
2022/11/26, 72, 17, , , 12
2022/11/27, 52, 22, , , 11
2022/11/28, 33, 25, , , 11
2022/11/29, 56, 22, , , 11
2022/11/30, 36, 25, , , 9
2022/12/1, 36, 17, , , 10
2022/12/2, 23, 26, , , 7
2022/12/3, 36, 19, , , 6
2022/12/4, 44, 24, , , 9
2022/12/5, 29, 30, , , 15
2022/12/6, 57, 33, , , 11
2022/12/7, 54, 27, , , 8
2022/12/8, 50, 28, , , 8
2022/12/9, 97, 38, , , 12
2022/12/10, 77, 33, , , 11
2022/12/11, 75, 36, , , 10
2022/12/12, 66, 32, , , 12
2022/12/13, 70, 37, , , 8
2022/12/14, 57, , , , 
2022/12/19, 72, 22, , , 12
2022/12/20, 67, 28, , , 13
2022/12/21, 61, 27, , , 11
2022/12/22, 71, 29, , , 10
2022/12/23, 55, 30, , , 9
2022/12/24, 59, 19, , , 11
2022/12/25, 47, 20, , , 8
2022/12/26, 47, 31, , , 7
2022/12/27, 41, 35, , , 9
2022/12/28, 48, 36, , , 12
2022/12/29, 67, 27, , , 7
2022/12/30, 41, 20, , , 6
2022/12/31, 29, 28, , , 10
2023/1/1, 44, 4, , , 13
2023/1/2, 80, , , , 
2022/7/2, 48, , , , 
2022/7/3, 57, , , , 
2022/7/4, 48, , , , 
2022/7/5, 41, , , , 
2022/7/6, 50, , , , 
2022/7/7, 62, , , , 
2022/7/8, 38, , , , 
2022/7/9, 40, , , , 
2022/7/10, 42, , , , 
2022/7/11, 32, , , , 
2022/7/12, 39, , , , 
2022/7/13, 42, , , , 
2022/7/14, 42, , , , 
2022/7/15, 38, , , , 
2022/7/16, 20, , , , 
2022/7/17, 40, , , , 
2022/7/18, 59, , , , 
2022/7/19, 39, , , , 
2022/7/20, 36, , , , 
2022/7/21, 45, , , , 
2022/7/22, 53, , , , 
2022/7/23, 57, , , , 
2022/7/24, 46, , , , 
2022/7/25, 28, , , , 
2022/7/26, 25, , , , 
2022/7/27, 28, , , , 
2022/7/28, 37, , , , 
2022/7/29, 35, , , , 
2022/7/30, 21, , , , 
2022/7/31, 39, , , , 
2022/8/1, 34, 34, , , 9
2022/8/2, 26, 32, , , 9
2022/8/3, 22, 38, , , 10
2022/8/4, 36, 41, , , 10
2022/8/5, 47, 33, , , 9
2022/8/6, 54, 29, , , 9
2022/8/7, 54, 26, , , 9
2022/8/8, 34, 25, , , 8
2022/8/9, 25, 28, , , 8
2022/8/10, 29, 27, , , 9
2022/8/11, 195, 29, , , 8
2022/8/12, 814, 33, , , 8
2022/8/13, 563, 40, , , 9
2022/8/14, 60, 37, , , 10
2022/8/15, 44, 31, , , 11
2022/8/16, 55, 32, , , 9
2022/8/17, 34, 35, , , 11
2022/8/18, 46, 37, , , 11
2022/8/19, 54, 34, , , 10
2022/8/20, 51, 40, , , 9
2022/8/21, 50, 42, , , 9
2022/8/22, 52, 35, , , 10
2022/8/23, 44, 34, , , 8
2022/8/24, 39, 36, , , 10
2022/8/25, 47, 33, , , 9
2022/8/26, 54, 30, , , 9
2022/8/27, 75, 37, , , 7
2022/8/28, 83, 42, , , 7
2022/8/29, 47, 30, , , 11
2022/8/30, 59, 32, , , 10
2022/8/31, 54, 29, , , 8
2022/9/1, 52, 24, , , 9
2022/9/2, 55, 26, , , 9
2022/9/3, 45, 18, , , 9
2022/9/4, 15, 17, , , 8
2022/9/5, 17, 16, , , 10
2022/9/6, 12, 24, , , 8
2022/9/7, 43, 23, , , 9
2022/9/8, 21, 31, , , 8
2022/9/9, 26, 41, , , 11
2022/9/10, 38, 40, , , 9
2022/9/11, 44, 34, , , 9
2022/9/12, 37, 35, , , 9
2022/9/13, 31, 34, , , 10
2022/9/14, 40, 34, , , 7
2022/9/15, 48, 19, , , 10
2022/9/16, 25, 19, , , 10
2022/9/17, 17, 17, , , 8
2022/9/18, 15, 19, , , 9
2022/9/19, 13, 16, , , 10
2022/9/20, 14, 18, , , 9
2022/9/21, 22, 26, , , 7
2022/9/22, 22, 28, , , 9
2022/9/23, 39, 34, , , 7
2022/9/24, 25, 36, , , 8
2022/9/25, 47, 35, , , 9
2022/9/26, 45, 29, , , 8
2022/9/27, 39, 28, , , 11
2022/9/28, 16, 33, , , 11
2022/9/29, 29, 33, , , 10
2022/9/30, 35, 28, , , 11
2022/10/1, 43, 21, , , 11
2022/4/2, 87, 39, , , 10
2022/4/3, 76, 39, , , 10
2022/4/4, 91, 40, , , 11
2022/4/5, 58, 42, , , 9
2022/4/6, 50, 38, , , 10
2022/4/7, 46, 41, , , 10
2022/4/8, 87, 43, , , 10
2022/4/9, 63, 44, , , 10
2022/4/10, 65, 33, , , 10
2022/4/11, 57, 30, , , 9
2022/4/12, 36, 25, , , 9
2022/4/13, 29, 35, , , 10
2022/4/14, 18, 45, , , 10
2022/4/15, 64, 36, , , 10
2022/4/16, 64, 36, , , 10
2022/4/17, 43, 32, , , 10
2022/4/18, 52, 34, , , 10
2022/4/19, 77, 36, , , 13
2022/4/20, 110, 37, , , 11
2022/4/21, 108, 47, , , 10
2022/4/22, 90, 49, , , 10
2022/4/23, 45, 56, , , 12
2022/4/24, 71, 34, , , 11
2022/4/25, 69, 46, , , 11
2022/4/26, 91, 29, , , 10
2022/4/27, 74, 34, , , 10
2022/4/28, 67, 40, , , 9
2022/4/29, 69, 42, , , 10
2022/4/30, 71, 66, , , 11
2022/5/1, 79, 38, , , 11
2022/5/2, 83, 38, , , 10
2022/5/3, 62, 52, , , 10
2022/5/4, 58, 67, , , 11
2022/5/5, 107, 46, , , 12
2022/5/6, 92, 41, , , 10
2022/5/7, 80, 46, , , 11
2022/5/8, 93, 49, , , 10
2022/5/9, 90, 47, , , 10
2022/5/10, 62, 45, , , 11
2022/5/11, 99, 34, , , 10
2022/5/12, 65, 45, , , 9
2022/5/13, 52, 51, , , 10
2022/5/14, 53, 44, , , 9
2022/5/15, 57, 46, , , 8
2022/5/16, 50, 47, , , 10
2022/5/17, 49, 58, , , 11
2022/5/18, 262, 53, , , 10
2022/5/19, 814, 47, , , 11
2022/5/20, 814, 48, , , 11
2022/5/21, 814, 62, , , 10
2022/5/22, 814, 53, , , 11
2022/5/23, 814, 51, , , 11
2022/5/24, 814, 41, , , 10
2022/5/25, 814, 54, , , 10
2022/5/26, 490, 44, , , 11
2022/5/27, 73, 36, , , 10
2022/5/28, 75, 38, , , 10
2022/5/29, 80, 52, , , 9
2022/5/30, 56, 44, , , 9
2022/5/31, 49, 44, , , 9
2022/6/1, 60, 41, , , 9
2022/6/2, 61, 30, , , 9
2022/6/3, 39, 36, , , 9
2022/6/4, 41, 41, , , 9
2022/6/5, 51, 45, , , 10
2022/6/6, 73, 47, , , 10
2022/6/7, 51, 45, , , 9
2022/6/8, 47, 48, , , 10
2022/6/9, 84, 30, , , 10
2022/6/10, 58, 33, , , 9
2022/6/11, 40, 38, , , 10
2022/6/12, 42, 33, , , 9
2022/6/13, 60, 32, , , 9
2022/6/14, 74, 23, , , 9
2022/6/15, 52, 20, , , 8
2022/6/16, 28, 23, , , 9
2022/6/17, 56, 33, , , 9
2022/6/18, 49, 29, , , 9
2022/6/19, 49, 22, , , 9
2022/6/20, 51, 26, , , 8
2022/6/21, 43, 27, , , 9
2022/6/22, 89, 18, , , 10
2022/6/23, 30, 21, , , 8
2022/6/24, 53, 32, , , 9
2022/6/25, 82, 58, , , 9
2022/6/26, 65, 39, , , 9
2022/6/27, 52, 31, , , 9
2022/6/28, 50, 27, , , 9
2022/6/29, 41, 39, , , 9
2022/6/30, 54, 39, , , 10
2022/7/1, 50, 33, , , 10
2022/1/4, 66, 37, , , 17
2022/1/5, 71, 28, , , 10
2022/1/6, 58, 34, , , 9
2022/1/7, 51, 37, , , 12
2022/1/8, 67, 21, , , 15
2022/1/9, 64, 26, , , 18
2022/1/10, 61, 21, , , 6
2022/1/11, 60, 19, , , 7
2022/1/12, 27, 29, , , 12
2022/1/13, 41, 34, , , 6
2022/1/14, 39, 29, , , 10
2022/1/15, 54, 27, , , 11
2022/1/16, 42, 38, , , 17
2022/1/17, 72, 35, , , 12
2022/1/18, 71, 24, , , 11
2022/1/19, 70, 28, , , 7
2022/1/20, 36, 28, , , 13
2022/1/21, 74, 20, , , 11
2022/1/22, 86, 20, , , 15
2022/1/23, 74, 31, , , 10
2022/1/24, 57, 27, , , 11
2022/1/25, 47, 25, , , 9
2022/1/26, 47, 30, , , 10
2022/1/27, 66, 25, , , 10
2022/1/28, 58, 25, , , 10
2022/1/29, 47, 26, , , 10
2022/1/30, 33, 31, , , 7
2022/1/31, 51, 29, , , 14
2022/2/1, 18, 35, , , 10
2022/2/2, 22, 27, , , 9
2022/2/3, 12, 27, , , 8
2022/2/4, 22, 22, , , 9
2022/2/5, 52, 29, , , 11
2022/2/6, 56, 25, , , 11
2022/2/7, 58, 24, , , 9
2022/2/8, 46, 19, , , 10
2022/2/9, 46, 30, , , 11
2022/2/10, 85, 33, , , 10
2022/2/11, 127, 30, , , 13
2022/2/12, 64, 37, , , 11
2022/2/13, 47, 28, , , 10
2022/2/14, 45, 25, , , 11
2022/2/15, 49, 36, , , 12
2022/2/16, 74, 23, , , 11
2022/2/17, 46, 18, , , 10
2022/2/18, 18, 31, , , 9
2022/2/19, 63, 29, , , 9
2022/2/20, 60, 40, , , 10
2022/2/21, 62, 41, , , 13
2022/2/22, 55, 30, , , 11
2022/2/23, 51, 45, , , 11
2022/2/24, 52, 52, , , 10
2022/2/25, 86, 33, , , 10
2022/2/26, 63, 37, , , 10
2022/2/27, 46, 38, , , 10
2022/2/28, 49, 30, , , 10
2022/3/1, 38, 35, , , 11
2022/3/2, 154, 40, , , 11
2022/3/3, 60, 37, , , 11
2022/3/4, 61, 49, , , 11
2022/3/5, 70, , , , 
2022/3/9, 50, 32, , , 8
2022/3/10, 45, 38, , , 9
2022/3/11, 46, 36, , , 9
2022/3/12, 40, 29, , , 8
2022/3/13, 80, 35, , , 10
2022/3/14, 55, 30, , , 11
2022/3/15, 55, 40, , , 10
2022/3/16, 66, 40, , , 10
2022/3/17, 65, 34, , , 10
2022/3/18, 35, 42, , , 9
2022/3/19, 60, 39, , , 10
2022/3/20, 74, 37, , , 10
2022/3/21, 65, 30, , , 10
2022/3/22, 60, 30, , , 8
2022/3/23, 33, 34, , , 10
2022/3/24, 46, 40, , , 8
2022/3/25, 62, 44, , , 9
2022/3/26, 57, 43, , , 11
2022/3/27, 68, 55, , , 10
2022/3/28, 63, 45, , , 11
2022/3/29, 77, 46, , , 11
2022/3/30, 83, 33, , , 9
2022/3/31, 33, 48, , , 10
2022/4/1, 49, 44, , , 10
2021/10/2, 37, 23, 7, 7, 10
2021/10/3, 19, 15, 5, 8, 10
2021/10/4, 23, 14, 7, 8, 10
2021/10/5, 23, 23, 7, 8, 12
2021/10/6, 21, 25, 9, 8, 10
2021/10/7, 29, 26, 15, 8, 10
2021/10/8, 52, 28, 13, 8, 9
2021/10/9, 49, 27, 12, 8, 9
2021/10/10, 62, 29, 12, 9, 11
2021/10/11, 46, 33, 7, 7, 10
2021/10/12, 39, 34, 13, 7, 11
2021/10/13, 60, 21, 10, 8, 8
2021/10/14, 38, 23, 9, 8, 17
2021/10/15, 39, 24, 13, 9, 10
2021/10/16, 52, 17, 8, 8, 12
2021/10/17, 40, 21, 8, 7, 8
2021/10/18, 28, 27, 16, 8, 10
2021/10/19, 38, 29, 18, 8, 12
2021/10/20, 48, 25, 10, 8, 8
2021/10/21, 34, 18, 12, 8, 9
2021/10/22, 35, 21, 15, 8, 10
2021/10/23, 45, 31, 18, 10, 12
2021/10/24, 52, 30, 20, 10, 10
2021/10/25, 63, 17, 28, 9, 14
2021/10/26, 53, 20, 20, 9, 11
2021/10/27, 57, 26, 13, 8, 12
2021/10/28, 27, 34, 17, 7, 12
2021/10/29, 34, 33, 14, 8, 11
2021/10/30, 52, 32, 27, 9, 11
2021/10/31, 55, 35, 30, 10, 11
2021/11/1, 66, 31, 17, 8, 12
2021/11/2, 46, 29, 24, 9, 12
2021/11/3, 58, 31, 29, 10, 11
2021/11/4, 50, 28, 19, 8, 10
2021/11/5, 51, 29, 17, 7, 10
2021/11/6, 38, 30, 20, 11, 11
2021/11/7, 54, 31, 20, 7, 13
2021/11/8, 49, 32, 28, 8, 11
2021/11/9, 50, 36, 25, 9, 9
2021/11/10, 45, 33, 49, 8, 14
2021/11/11, 55, 37, 52, 9, 14
2021/11/12, 64, 32, 29, 8, 9
2021/11/13, 57, 26, 29, 8, 11
2021/11/14, 56, 34, 23, 7, 11
2021/11/15, 36, 32, 35, 8, 10
2021/11/16, 38, 34, 52, 8, 13
2021/11/17, 48, 42, 63, 10, 13
2021/11/18, 60, 36, 45, 9, 11
2021/11/19, 52, 23, 29, 7, 8
2021/11/20, 28, 30, 28, 7, 8
2021/11/21, 24, 35, 43, 15, 11
2021/11/22, 46, 28, 32, 7, 11
2021/11/23, 41, 28, 30, 7, 8
2021/11/24, 36, 25, 70, 9, 15
2021/11/25, 64, 29, 56, 9, 12
2021/11/26, 49, 23, 47, 8, 10
2021/11/27, 53, 28, 60, 8, 12
2021/11/28, 55, 34, 61, 8, 15
2021/11/29, 69, 30, 41, 7, 11
2021/11/30, 50, 36, 83, 8, 12
2021/12/1, 68, 25, 85, 9, 13
2021/12/2, 56, 23, 78, 8, 13
2021/12/3, 48, 25, 80, 7, 11
2021/12/4, 43, 27, 86, 8, 15
2021/12/5, 40, 31, 89, 10, 14
2021/12/6, 50, 37, 76, 9, 14
2021/12/7, 62, 35, 85, 8, 14
2021/12/8, 60, 33, 85, 11, 18
2021/12/9, 69, 23, , 10, 17
2021/12/10, 65, 25, , 10, 13
2021/12/11, 57, 30, , 11, 13
2021/12/12, 65, 36, , 8, 12
2021/12/13, 55, 33, , 7, 9
2021/12/14, 49, 24, , 7, 7
2021/12/15, 181, 28, , 8, 9
2021/12/16, 53, 19, , 8, 16
2021/12/17, 49, 36, , 9, 15
2021/12/18, 86, 29, , 8, 9
2021/12/19, 68, 18, , , 11
2021/12/20, 72, 28, , , 7
2021/12/21, 55, 30, , , 19
2021/12/22, 58, 30, , , 12
2021/12/23, 66, 32, , , 14
2021/12/24, 68, 36, , , 12
2021/12/25, 67, 35, , , 10
2021/12/26, 56, 32, , , 14
2021/12/27, 35, 28, , , 16
2021/12/28, 54, 30, , , 12
2021/12/29, 36, 35, , , 8
2021/12/30, 48, 41, , , 18
2021/12/31, 66, 34, , , 12
2022/1/1, 70, 38, , , 7
2022/1/2, 45, , , , 
2021/7/2, 6, 24, 6, 8, 3
2021/7/3, 12, 32, 8, 9, 3
2021/7/4, 23, 41, 8, 9, 2
2021/7/5, 22, 35, 8, 8, 5
2021/7/6, 15, 24, 11, 9, 3
2021/7/7, 41, 24, 9, 8, 1
2021/7/8, 21, 27, 9, 8, 1
2021/7/9, 24, 20, 11, 8, 2
2021/7/10, 32, 31, 10, 8, 6
2021/7/11, 27, 25, 7, 8, 4
2021/7/12, 41, 19, 6, 8, 
2021/7/13, 64, 20, 6, 8, 2
2021/7/14, 53, 23, 5, 8, 
2021/7/15, 33, 24, 6, 8, 
2021/7/16, 429, 22, 8, 8, 5
2021/7/17, 455, 28, 8, 8, 3
2021/7/18, 62, 22, 5, 7, 3
2021/7/19, 59, 29, 5, 8, 
2021/7/20, 37, 37, 6, 8, 4
2021/7/21, 38, 27, 6, 8, 1
2021/7/22, 50, 25, 5, 8, 6
2021/7/23, 39, 28, 5, 7, 6
2021/7/24, 62, 49, 6, 7, 4
2021/7/25, 68, 34, 5, 8, 5
2021/7/26, 61, 35, 5, 8, 1
2021/7/27, 48, 39, 6, 8, 
2021/7/28, 45, 35, 6, 8, 3
2021/7/29, 58, 30, 6, 8, 4
2021/7/30, 35, 25, 5, 8, 4
2021/7/31, 28, 23, 5, 8, 6
2021/8/1, 60, 7, 7, 8, 8
2021/8/2, 71, 34, 6, 8, 1
2021/8/3, 41, 33, 7, 9, 2
2021/8/4, 35, 22, 6, 8, 5
2021/8/5, 50, 24, 6, 8, 1
2021/8/6, 32, 29, 6, 8, 1
2021/8/7, 36, 32, 7, 8, 6
2021/8/8, 49, 27, 5, 8, 2
2021/8/9, 39, 27, 5, 8, 3
2021/8/10, 25, 25, 4, 7, 1
2021/8/11, 35, 30, 5, 7, 
2021/8/12, 37, 34, 7, 9, 6
2021/8/13, 54, 38, 6, 8, 1
2021/8/14, 40, 29, 7, 9, 5
2021/8/15, 49, 28, 5, 8, 2
2021/8/16, 37, 32, 5, 8, 1
2021/8/17, 28, 39, 6, 8, 5
2021/8/18, 46, 36, 7, 9, 6
2021/8/19, 58, 34, 6, 8, 3
2021/8/20, 52, 29, 6, 9, 4
2021/8/21, 42, 23, 5, 7, 6
2021/8/22, 22, 20, 4, 7, 2
2021/8/23, 12, 23, 5, 8, 1
2021/8/24, 42, 24, 6, 8, 6
2021/8/25, 55, 19, 24, , 
2021/8/26, 35, 14, 17, , 
2021/8/27, 47, 16, , , 2
2021/8/28, 186, 27, , , 5
2021/8/29, 67, 18, , , 10
2021/8/30, 25, 36, 9, 13, 7
2021/8/31, 33, 34, 16, 9, 14
2021/9/1, 42, 39, 11, 7, 15
2021/9/2, 49, 26, 8, 8, 5
2021/9/3, 45, 20, 9, 8, 19
2021/9/4, 37, 29, 6, 7, 8
2021/9/5, 51, 27, 5, 7, 8
2021/9/6, 31, 31, 6, 7, 9
2021/9/7, 27, 37, 7, 9, 11
2021/9/8, 52, 31, 5, 8, 14
2021/9/9, 36, 33, 6, 8, 11
2021/9/10, 52, 42, 5, 7, 7
2021/9/11, 42, 38, 5, 7, 4
2021/9/12, 44, 30, 3, 7, 8
2021/9/13, 12, 31, 6, 7, 15
2021/9/14, 23, 33, 8, 8, 19
2021/9/15, 40, 37, 7, 8, 14
2021/9/16, 21, 27, 7, 8, 9
2021/9/17, 35, 19, 13, 10, 18
2021/9/18, 46, 27, 9, 7, 13
2021/9/19, 27, 31, 8, 8, 16
2021/9/20, 44, 32, 6, 8, 7
2021/9/21, 30, 37, 6, 10, 8
2021/9/22, 23, 27, 5, 7, 6
2021/9/23, 35, 25, 7, 7, 5
2021/9/24, 22, 25, 11, 7, 8
2021/9/25, 50, 23, 6, 7, 9
2021/9/26, 30, 31, 6, 7, 13
2021/9/27, 44, 24, 10, 8, 19
2021/9/28, 48, 26, 10, 8, 13
2021/9/29, 50, 32, 9, 8, 12
2021/9/30, 40, 27, 12, 9, 12
2021/10/1, 455, 25, 11, 8, 9
2021/4/2, 147, 13, 8, 7, 5
2021/4/3, 64, 16, 9, 8, 6
2021/4/4, 46, 19, 8, 8, 6
2021/4/5, 58, 20, 13, 8, 6
2021/4/6, 64, 21, 16, 9, 3
2021/4/7, 73, 20, 11, 8, 4
2021/4/8, 63, 26, 12, 10, 6
2021/4/9, 79, 20, 13, 8, 6
2021/4/10, 75, 15, 8, 7, 5
2021/4/11, 46, 18, 11, 8, 7
2021/4/12, 51, 21, 13, 9, 7
2021/4/13, 52, 21, 13, 10, 3
2021/4/14, 55, 20, 12, 11, 6
2021/4/15, 90, 20, 11, 9, 5
2021/4/16, 103, 20, 11, 8, 2
2021/4/17, 87, 22, 11, 10, 3
2021/4/18, 76, 16, 10, 8, 6
2021/4/19, 71, 19, 11, 8, 2
2021/4/20, 50, 16, 10, 8, 2
2021/4/21, 43, 17, 9, 8, 1
2021/4/22, 50, 14, 12, 8, 2
2021/4/23, 63, 12, 10, 7, 2
2021/4/24, 50, 15, 7, 8, 5
2021/4/25, 32, 19, 8, 8, 5
2021/4/26, 70, 23, 11, 8, 1
2021/4/27, 83, 19, 13, 9, 2
2021/4/28, 74, 20, 12, 8, 1
2021/4/29, 163, 19, 9, 8, 1
2021/4/30, 56, 19, 10, 9, 4
2021/5/1, 63, 13, 9, 7, 1
2021/5/2, 41, 23, 7, 7, 5
2021/5/3, 15, 17, 8, 7, 5
2021/5/4, 37, 24, 8, 9, 5
2021/5/5, 62, 21, 9, 8, 2
2021/5/6, 108, 20, 9, 8, 9
2021/5/7, 102, 16, 9, 9, 8
2021/5/8, 77, , , , 
2021/5/12, 52, 18, 15, 8, 7
2021/5/13, 85, 28, 11, 8, 2
2021/5/14, 19, 28, 9, 7, 1
2021/5/15, 20, 51, 11, 8, 
2021/5/16, 41, 61, 12, 8, 
2021/5/17, 50, 47, 12, 8, 
2021/5/18, 51, 29, 13, 9, 5
2021/5/19, 48, 21, 8, 7, 5
2021/5/20, 18, 24, 9, 9, 2
2021/5/21, 52, 24, 12, 11, 6
2021/5/22, 70, 20, 9, 9, 1
2021/5/23, 52, 16, 8, 8, 1
2021/5/24, 60, 49, 11, 7, 1
2021/5/25, 37, 57, 12, 8, 2
2021/5/26, 51, 43, 9, 8, 6
2021/5/27, 62, 56, 10, 8, 3
2021/5/28, 62, 47, 10, 12, 7
2021/5/29, 83, 57, 9, 8, 6
2021/5/30, 75, 39, 8, 8, 1
2021/5/31, 80, 49, 9, 8, 6
2021/6/1, 92, 37, 10, 8, 7
2021/6/2, 75, 38, 9, 7, 1
2021/6/3, 55, 47, 9, 8, 2
2021/6/4, 28, 40, 9, 7, 4
2021/6/5, 19, 51, 13, 8, 3
2021/6/6, 42, 55, 10, 7, 4
2021/6/7, 27, 55, 13, 8, 6
2021/6/8, 89, 46, 10, 8, 2
2021/6/9, 63, 39, 10, 8, 6
2021/6/10, 63, 35, 8, 8, 1
2021/6/11, 49, 31, 10, 8, 6
2021/6/12, 41, 28, 6, 8, 7
2021/6/13, 33, 19, 5, 8, 2
2021/6/14, 11, 20, 7, 8, 1
2021/6/15, 17, 34, 7, 8, 
2021/6/16, 29, 37, 6, 7, 1
2021/6/17, 29, 32, 5, 7, 
2021/6/18, 15, 29, 6, 7, 4
2021/6/19, 12, 25, 11, 8, 3
2021/6/20, 27, 30, 8, 8, 3
2021/6/21, 22, 37, 7, 8, 1
2021/6/22, 10, 38, 10, 10, 8
2021/6/23, 31, 33, 11, 8, 8
2021/6/24, 39, 34, 10, 8, 4
2021/6/25, 38, 28, 7, 8, 5
2021/6/26, 41, 34, 8, 8, 
2021/6/27, 40, 19, 6, 8, 1
2021/6/28, 11, 16, 8, 8, 6
2021/6/29, 17, 29, 10, 8, 8
2021/6/30, 32, 24, 9, 8, 7
2021/7/1, 35, 24, 7, 8, 3
2021/1/5, 49, 23, 32, 2, 8
2021/1/6, 51, 17, 33, 2, 8
2021/1/7, 58, 22, 28, 1, 5
