date, pm25, pm10, no2, so2, co
2021/2/2, 59, 12, 2, , 10
2021/2/3, 51, 12, 4, , 11
2021/2/4, 46, 18, 8, , 12
2021/2/5, 39, 23, 13, , 12
2021/2/6, 56, 24, 9, , 12
2021/2/7, 59, 11, 2, , 10
2021/2/8, 25, 10, 2, 1, 10
2021/2/9, 29, 12, 3, 1, 12
2021/2/10, 38, 13, 4, 1, 10
2021/2/11, 45, 13, 13, 1, 12
2021/2/12, 41, 14, 25, 1, 12
2021/2/13, 48, 15, 25, 1, 12
2021/2/14, 53, 20, 24, , 14
2021/2/15, 59, 12, 1, , 10
2021/2/16, 34, 11, 1, , 11
2021/2/17, 30, 8, 2, 1, 11
2021/2/18, 18, 10, 5, 1, 11
2021/2/19, 29, 19, 1, 1, 12
2021/2/20, 49, 16, 11, 1, 11
2021/2/21, 49, 18, 29, 1, 11
2021/2/22, 54, 13, 3, 1, 10
2021/2/23, 42, 10, 3, 1, 11
2021/2/24, 33, 11, 5, , 11
2021/2/25, 29, 13, 6, , 11
2021/2/26, 39, 10, 11, , 10
2021/2/27, 28, 10, 13, , 11
2021/2/28, 26, 14, 14, , 12
2021/1/4, 40, 12, 12, , 9
2021/1/5, 41, 12, 17, , 11
2021/1/6, 42, 10, 14, , 10
2021/1/7, 33, 13, 6, , 12
2021/1/8, 39, 11, 10, , 9
2021/1/9, 31, 9, 5, , 9
2021/1/10, 35, 9, 7, , 9
2021/1/11, 41, 14, 28, , 11
2021/1/12, 54, 16, 9, , 10
2021/1/13, 47, 17, 10, , 9
2021/1/14, 55, 14, 13, , 10
2021/1/15, 50, 20, 7, , 9
2021/1/16, 59, 11, 3, , 9
2021/1/17, 43, 10, 8, , 10
2021/1/18, 39, 10, 7, , 9
2021/1/19, 49, 11, 5, , 10
2021/1/20, 44, 17, 13, , 11
2021/1/21, 57, 21, 18, , 11
2021/1/22, 67, 14, 18, 1, 10
2021/1/23, 52, 14, 18, , 10
2021/1/24, 53, 15, 14, , 11
2021/1/25, 54, 17, 25, , 12
2021/1/26, 63, 15, 12, , 11
2021/1/27, 58, 14, 7, , 11
2021/1/28, 47, 12, 2, , 10
2021/1/29, 42, 15, 2, , 
2021/1/30, 51, 15, 3, , 10
2021/1/31, 53, 15, 9, , 14
2020/10/1, 46, 14, 4, , 1
2020/10/2, 54, 13, 4, , 1
2020/10/3, 50, 10, 4, , 1
2020/10/4, 51, 7, 2, , 1
2020/10/5, 40, 7, 1, 1, 1
2020/10/6, 38, 9, 2, , 1
2020/10/7, 36, 8, 3, , 2
2020/10/8, 36, 10, 4, , 2
2020/10/9, 45, 8, 3, , 1
2020/10/10, 46, 6, 1, , 1
2020/10/11, 26, 9, 4, , 1
2020/10/12, 27, 11, 2, , 1
2020/10/13, 43, 9, 2, , 1
2020/10/14, 40, 8, 2, , 1
2020/10/15, 40, 11, 4, , 2
2020/10/16, 41, 9, 5, , 2
2020/10/17, 37, 14, 7, 1, 2
2020/10/18, 50, 10, 5, 1, 2
2020/10/19, 46, 12, 6, , 2
2020/10/20, 50, 11, 7, , 2
2020/10/21, 51, 14, 12, , 3
2020/10/22, 56, 14, 8, , 3
2020/10/23, 53, 10, 1, , 2
2020/10/24, 45, 12, 1, 1, 2
2020/10/25, 49, 10, 3, , 2
2020/10/26, 39, 7, 3, , 3
2020/10/27, 36, 9, 7, , 3
2020/10/28, 43, 10, 2, , 3
2020/10/29, 47, 7, 5, , 3
2020/10/30, 39, 11, 6, , 4
2020/10/31, 43, 12, 5, , 3
2020/11/1, 48, 9, 6, , 5
2020/11/2, 44, 9, 3, , 3
2020/11/3, 45, 10, 2, , 4
2020/11/4, 40, 11, 2, , 4
2020/11/5, 48, 15, 5, , 4
2020/11/6, 52, 13, 3, , 3
2020/11/7, 56, 20, 1, , 4
2020/11/8, 63, 9, 3, , 4
2020/11/9, 35, 9, 5, , 4
2020/11/10, 31, 11, 6, , 3
2020/11/11, 33, 10, 9, , 5
2020/11/12, 47, 14, 10, , 5
2020/11/13, 55, 15, 5, , 5
2020/11/14, 55, 13, 9, , 4
2020/11/15, 44, 15, 4, , 5
2020/11/16, 47, 9, 6, , 4
2020/11/17, 33, 14, 15, , 8
2020/11/18, 44, 15, 10, 1, 5
2020/11/19, 59, 9, 2, , 6
2020/11/20, 38, 7, 2, , 4
2020/11/21, 26, 7, 3, , 4
2020/11/22, 26, 9, 2, , 4
2020/11/23, 33, 9, 5, 1, 5
2020/11/24, 40, 12, 7, , 6
2020/11/25, 42, 9, 3, 1, 5
2020/11/26, 43, 9, 6, 1, 5
2020/11/27, 30, 7, 6, , 6
2020/11/28, 30, 10, 5, , 5
2020/11/29, 40, 7, 5, , 5
2020/11/30, 37, 8, 3, , 5
2020/12/1, 39, 15, 5, , 6
2020/12/2, 44, 6, 4, , 6
2020/12/3, 31, 8, 5, , 6
2020/12/4, 37, 9, 8, , 6
2020/12/5, 36, 9, 8, , 7
2020/12/6, 38, 10, 6, , 6
2020/12/7, 46, 10, 5, , 6
2020/12/8, 46, 8, 6, , 6
2020/12/9, 38, 8, 11, 1, 8
2020/12/10, 27, 13, 13, , 8
2020/12/11, 48, 13, 6, , 7
2020/12/12, 50, 12, 4, , 6
2020/12/13, 41, 9, 3, , 6
2020/12/14, 33, 9, 3, , 6
2020/12/15, 31, 9, 6, , 7
2020/12/16, 28, 8, 4, , 7
2020/12/17, 33, 10, 6, , 8
2020/12/18, 32, 10, 4, , 7
2020/12/19, 40, 9, 7, , 7
2020/12/20, 32, 10, 6, , 8
2020/12/21, 39, 12, 13, , 9
2020/12/22, 47, 13, 19, , 10
2020/12/23, 44, 21, 19, , 10
2020/12/24, 66, 24, 4, , 8
2020/12/25, 68, 13, 3, , 7
2020/12/26, 45, 11, 12, , 10
2020/12/27, 47, 23, 19, , 11
2020/12/28, 75, 15, 8, , 9
2020/12/29, 52, 8, 6, , 8
2020/12/30, 31, 9, 2, , 7
2020/12/31, 33, 11, 2, , 7
2021/1/1, 34, 11, 4, , 7
2021/1/2, 31, 10, 4, , 8
2021/1/3, 33, 9, 5, , 8
2020/7/1, 38, 10, 6, , 1
2020/7/2, 37, 13, 4, 1, 
2020/7/3, 38, 12, 4, , 1
2020/7/4, 44, 7, 2, , 
2020/7/5, 34, 13, 3, , 
2020/7/6, 44, 11, 4, , 
2020/7/7, 33, 12, 5, , 
2020/7/8, 32, 10, 2, 1, 
2020/7/9, 42, 16, 4, , 
2020/7/10, 56, 9, 2, , 
2020/7/11, 29, 8, 1, , 
2020/7/12, 35, 10, 2, , 
2020/7/13, 46, 9, 1, , 
2020/7/14, 44, 6, 1, , 2
2020/7/15, 25, 9, 1, , 1
2020/7/16, 38, 10, 2, , 1
2020/7/17, 42, 9, 1, , 1
2020/7/18, 33, 7, 1, , 1
2020/7/19, 31, 13, 3, , 1
2020/7/20, 45, 17, 3, , 1
2020/7/21, 52, 13, 2, , 1
2020/7/22, 43, 8, 2, , 1
2020/7/23, 32, 10, 2, , 1
2020/7/24, 40, 8, 2, , 1
2020/7/25, 34, 5, 1, , 1
2020/7/26, 25, 8, 2, , 1
2020/7/27, 27, 6, 1, , 1
2020/7/28, 26, 7, 2, , 
2020/7/29, 35, 14, 3, , 1
2020/7/30, 52, 11, 4, , 1
2020/7/31, 45, 12, 3, , 1
2020/8/1, 46, 11, 2, , 
2020/8/2, 45, 17, 4, , 1
2020/8/3, 56, 44, 1, , 
2020/8/4, 109, 51, 1, , 
2020/8/5, 112, 33, 3, , 1
2020/8/6, 80, 20, 2, , 1
2020/8/7, 57, 14, 2, , 1
2020/8/8, 44, 10, 3, , 1
2020/8/9, 34, 12, 3, , 
2020/8/10, 46, 15, 2, , 
2020/8/11, 52, 13, 1, , 
2020/8/12, 41, 18, 1, , 
2020/8/13, 60, 15, 2, , 1
2020/8/14, 54, 16, 2, , 1
2020/8/15, 53, 12, 1, , 1
2020/8/16, 52, 11, 1, , 1
2020/8/17, 40, 9, 1, , 1
2020/8/18, 43, 16, 2, , 1
2020/8/19, 54, 14, 1, , 1
2020/8/20, 53, 12, 2, , 1
2020/8/21, 38, 7, 2, , 1
2020/8/22, 23, 10, 2, , 1
2020/8/23, 38, 11, 2, , 1
2020/8/24, 42, 12, 1, , 1
2020/8/25, 46, 18, 2, , 1
2020/8/26, 57, 20, 2, , 1
2020/8/27, 59, 22, 6, , 1
2020/8/28, 61, 22, 2, , 1
2020/8/29, 60, 4, 1, , 
2020/8/30, 21, 4, 1, 1, 
2020/8/31, 20, 6, 2, , 
2020/9/1, 23, 17, 3, , 1
2020/9/2, 43, 16, 2, , 
2020/9/3, 45, 14, 5, , 
2020/9/4, 41, 9, 3, , 
2020/9/5, 37, 8, 2, , 
2020/9/6, 35, 10, 2, , 
2020/9/7, 42, , , , 
2020/9/13, 18, 5, 4, , 1
2020/9/14, 21, 9, 2, , 1
2020/9/15, 17, 11, 3, , 1
2020/9/16, 29, 14, 4, , 1
2020/9/17, 43, 18, 2, , 2
2020/9/18, 20, 10, 2, , 2
2020/9/19, 26, 11, 1, , 1
2020/9/20, 27, 9, 2, , 1
2020/9/21, 22, 9, 2, , 1
2020/9/22, 21, 9, 3, , 1
2020/9/23, 26, 10, 1, , 1
2020/9/24, 23, 7, 1, , 1
2020/9/25, 22, 5, 1, , 
2020/9/26, 21, 5, 1, , 
2020/9/27, 20, 8, 2, , 1
2020/9/28, 37, 10, 3, , 
2020/9/29, 42, 9, 2, , 1
2020/9/30, 45, 10, 4, , 1
2020/4/1, 47, 12, 2, , 1
2020/4/2, 40, 19, 1, , 1
2020/4/3, 60, 16, 7, , 1
2020/4/4, 51, 9, 1, , 1
2020/4/5, 30, 10, 1, , 
2020/4/6, 32, 21, 2, 1, 1
2020/4/7, 67, 16, 3, , 1
2020/4/8, 58, 10, 3, , 1
2020/4/9, 40, 9, 3, , 
2020/4/10, 32, 8, 2, , 
2020/4/11, 35, 8, 3, , 1
2020/4/12, 36, 10, 1, , 1
2020/4/13, 38, 13, 1, , 2
2020/4/14, 41, 12, 6, , 1
2020/4/15, 32, 9, 4, , 1
2020/4/16, 19, 10, 7, , 1
2020/4/17, 28, 12, 5, , 1
2020/4/18, 29, 8, 1, 1, 
2020/4/19, 16, 6, 4, , 1
2020/4/20, 13, 8, 1, , 1
2020/4/21, 21, 13, 1, , 1
2020/4/22, 29, 11, 1, , 1
2020/4/23, 21, 11, 2, , 1
2020/4/24, 26, 13, 3, , 1
2020/4/25, 38, 12, 2, , 1
2020/4/26, 35, 12, 3, , 1
2020/4/27, 32, 12, 3, , 1
2020/4/28, 31, 13, 3, , 1
2020/4/29, 41, 15, 10, , 1
2020/4/30, 52, 20, 8, , 1
2020/5/1, 59, 29, 1, , 1
2020/5/2, 77, 29, 3, , 1
2020/5/3, 77, 20, 3, , 
2020/5/4, 60, 7, 2, , 
2020/5/5, 15, 8, 2, , 
2020/5/6, 24, 6, 1, , 
2020/5/7, 21, 11, 2, , 1
2020/5/8, 33, 13, 1, , 1
2020/5/9, 37, 14, 3, 1, 1
2020/5/10, 33, 14, 1, , 1
2020/5/11, 37, 34, 4, , 1
2020/5/12, 71, 17, 4, , 1
2020/5/13, 57, 9, 2, , 
2020/5/14, 38, 19, 7, , 1
2020/5/15, 54, 14, 4, , 1
2020/5/16, 48, 11, 3, , 1
2020/5/17, 41, 11, 2, , 1
2020/5/18, 46, 5, 1, , 
2020/5/19, 23, 8, 2, , 1
2020/5/20, 26, 7, 2, , 1
2020/5/21, 29, 8, 3, , 1
2020/5/22, 36, 13, 5, , 1
2020/5/23, 47, 9, 4, , 1
2020/5/24, 36, 8, 2, , 
2020/5/25, 37, 8, 5, , 1
2020/5/26, 31, 10, 2, , 1
2020/5/27, 41, 9, 1, , 
2020/5/28, 41, 8, 1, , 
2020/5/29, 39, 8, 2, 1, 
2020/5/30, 38, 10, 3, 1, 
2020/5/31, 41, 13, 6, , 1
2020/6/1, 54, 16, 3, , 
2020/6/2, 54, 15, 4, , 1
2020/6/3, 58, 14, 6, 1, 1
2020/6/4, 56, 16, 3, 1, 
2020/6/5, 55, 10, 1, , 
2020/6/6, 43, 7, 1, , 
2020/6/7, 30, 8, 1, , 
2020/6/8, 34, 10, 3, , 1
2020/6/9, 34, 19, 4, , 1
2020/6/10, 62, 21, 8, , 1
2020/6/11, 67, 11, 1, , 
2020/6/12, 43, 13, 2, , 
2020/6/13, 44, 15, 2, , 
2020/6/14, 52, 11, 3, , 
2020/6/15, 42, 9, 2, , 
2020/6/16, 35, 9, 1, , 
2020/6/17, 27, 11, 4, , 
2020/6/18, 37, 12, 2, , 
2020/6/19, 39, 7, 1, , 
2020/6/20, 35, 7, 1, , 
2020/6/21, 36, 13, 3, , 
2020/6/22, 49, 15, 2, , 
2020/6/23, 36, 9, 2, , 
2020/6/24, 42, 9, 3, , 1
2020/6/25, 40, 5, 4, , 1
2020/6/26, 24, 8, 5, , 1
2020/6/27, 27, 7, 2, , 
2020/6/28, 29, 5, 2, , 1
2020/6/29, 26, 9, 4, , 1
2020/6/30, 33, 13, 5, , 
2020/1/1, 29, 11, 2, , 1
2020/1/2, 31, 9, 2, , 1
2020/1/3, 24, 13, 4, , 1
2020/1/4, 36, 13, 4, , 
2020/1/5, 33, 11, 7, , 2
2020/1/6, 35, 10, 14, , 2
2020/1/7, 29, 6, 10, , 3
2020/1/8, 25, 9, 14, , 
2020/1/9, 27, 10, 16, , 1
2020/1/10, 36, 8, 13, , 2
2020/1/11, 25, 11, 6, , 1
2020/1/12, 40, 12, 7, , 1
2020/1/13, 36, 10, 10, , 1
2020/1/14, 27, 11, 11, , 2
2020/1/15, 31, 10, 3, , 1
2020/1/16, 27, 9, 4, , 1
2020/1/17, 29, 13, 7, , 1
2020/1/18, 41, 11, 12, , 1
2020/1/19, 31, 10, 9, , 2
2020/1/20, 35, 10, 9, , 1
2020/1/21, 30, 11, 6, , 2
2020/1/22, 23, 17, 12, , 2
2020/1/23, 66, 16, 9, , 2
2020/1/24, 49, 8, 2, , 
2020/1/25, 13, 8, 5, , 2
2020/1/26, 16, 12, 7, , 1
2020/1/27, 37, 9, 5, , 2
2020/1/28, 33, 8, 1, , 1
2020/1/29, 21, 8, 4, , 2
2020/1/30, 15, 8, 4, , 1
2020/1/31, 9, 8, 4, , 1
2020/2/1, 10, 9, 4, , 1
2020/2/2, 23, 10, 11, , 1
2020/2/3, 22, 10, 4, , 1
2020/2/4, 25, 9, 6, , 1
2020/2/5, 25, 8, 5, , 1
2020/2/6, 17, 9, 6, , 3
2020/2/7, 21, 11, 4, , 1
2020/2/8, 20, 8, 7, , 2
2020/2/9, 22, 9, 10, , 
2020/2/14, 101, 14, 2, , 
2020/2/15, 56, 9, 4, , 
2020/2/16, 24, 7, 3, , 
2020/2/17, 22, 9, 2, , 
2020/2/18, 26, 9, 3, , 
2020/2/19, 30, 12, 3, , 
2020/2/20, 40, 11, 5, , 
2020/2/21, 45, 15, 14, , 
2020/2/22, 47, 22, 1, , 
2020/2/23, 64, 17, 2, , 2
2020/2/24, 45, 21, 7, , 1
2020/2/25, 61, 14, 7, , 1
2020/2/26, 46, 10, 7, , 1
2020/2/27, 33, 8, 5, , 1
2020/2/28, 30, 8, 6, , 1
2020/2/29, 29, 8, 7, , 
2020/3/1, 32, 8, 6, , 1
2020/3/2, 25, 9, 3, , 
2020/3/3, 20, 11, 7, , 1
2020/3/4, 36, 8, 7, , 1
2020/3/5, 27, 9, 1, , 1
2020/3/6, 26, 8, 4, , 1
2020/3/7, 27, 11, 7, , 1
2020/3/8, 44, 12, 10, , 1
2020/3/9, 43, 11, 9, , 1
2020/3/10, 31, 9, 4, , 1
2020/3/11, 33, 10, 2, , 1
2020/3/12, 44, 15, 2, , 1
2020/3/13, 46, 11, 4, , 1
2020/3/14, 47, 11, 6, , 1
2020/3/15, 43, 10, 4, , 
2020/3/16, 32, 10, 3, , 1
2020/3/17, 34, 16, 2, , 1
2020/3/18, 53, 19, 9, , 1
2020/3/19, 57, 15, 5, , 
2020/3/20, 44, 15, 3, , 1
2020/3/21, 45, 16, 7, , 1
2020/3/22, 55, 11, 3, , 1
2020/3/23, 33, 10, 4, , 1
2020/3/24, 32, 10, 4, , 
2020/3/25, 35, 14, 5, , 1
2020/3/26, 49, 15, 17, , 2
2020/3/27, 49, 13, 1, , 
2020/3/28, 40, 12, 4, , 
2020/3/29, 42, , , , 
2019/10/1, 72, 25, 5, , 2
2019/10/2, 68, 30, 9, , 1
2019/10/3, 71, 20, 6, , 1
2019/10/4, 53, 9, 2, , 1
2019/10/5, 30, 7, 3, , 1
2019/10/6, 27, 9, 6, , 1
2019/10/7, 28, 10, 7, , 1
2019/10/8, 32, 12, 2, , 1
2019/10/9, 30, 11, 5, 1, 1
2019/10/10, 35, 14, 7, , 2
2019/10/11, 43, 11, 4, , 1
2019/10/12, 37, 11, 3, , 
2019/10/13, 32, 13, 4, 1, 1
2019/10/14, 36, 8, 3, , 1
2019/10/15, 31, 9, 4, , 1
2019/10/16, 30, 11, 5, , 1
2019/10/17, 33, 11, 7, , 1
2019/10/18, 31, 10, 9, , 1
2019/10/19, 34, 12, 3, , 1
2019/10/20, 35, 12, 6, , 1
2019/10/21, 49, 12, 6, , 1
2019/10/22, 42, 12, 6, , 1
2019/10/23, 45, 15, 5, , 1
2019/10/24, 43, 13, 3, , 1
2019/10/25, 43, 7, 4, , 
2019/10/26, 33, 10, 2, , 1
2019/10/27, 30, 9, 4, , 1
2019/10/28, 26, 12, 11, , 3
2019/10/29, 34, 16, 3, , 3
2019/10/30, 48, 15, 4, , 4
2019/10/31, 46, 13, 3, , 4
2019/11/1, 45, 8, 3, , 4
2019/11/2, 28, 10, 4, , 3
2019/11/3, 33, 8, 4, , 4
2019/11/4, 29, 7, 4, , 3
2019/11/5, 26, 12, 4, , 2
2019/11/6, 37, 9, 7, , 2
2019/11/7, 38, 10, 3, , 
2019/11/8, 29, 10, 5, , 1
2019/11/9, 35, 10, 4, , 3
2019/11/10, 33, 14, 14, , 2
2019/11/11, 37, 11, 5, , 1
2019/11/12, 45, 12, 10, , 2
2019/11/13, 35, 10, 2, , 1
2019/11/14, 35, 11, 2, , 1
2019/11/15, 35, 12, 2, , 
2019/11/16, 37, 14, 3, , 1
2019/11/17, 39, 15, 13, , 3
2019/11/18, 36, 19, 4, , 1
2019/11/19, 44, 11, 3, , 1
2019/11/20, 27, 13, 6, , 2
2019/11/21, 31, 16, 11, , 2
2019/11/22, 45, 13, 15, , 2
2019/11/23, 46, 14, 14, , 2
2019/11/24, 46, 11, 4, , 1
2019/11/25, 35, 13, 10, , 2
2019/11/26, 35, 11, 11, , 2
2019/11/27, 41, 10, 5, , 1
2019/11/28, 26, 9, 7, , 1
2019/11/29, 28, 11, 8, , 1
2019/11/30, 29, 8, 9, , 2
2019/12/1, 25, 11, 11, , 2
2019/12/2, 24, 12, 3, , 1
2019/12/3, 39, 14, 2, , 1
2019/12/4, 41, 11, 7, , 1
2019/12/5, 35, 11, 7, , 2
2019/12/6, 33, 12, 8, , 1
2019/12/7, 34, 14, 3, , 
2019/12/8, 43, 11, 13, , 2
2019/12/9, 39, 13, 20, , 3
2019/12/10, 39, 20, 27, , 3
2019/12/11, 64, 17, 10, , 1
2019/12/12, 50, 12, 10, , 1
2019/12/13, 46, 10, 7, , 2
2019/12/14, 35, 11, 3, , 2
2019/12/15, 39, 11, 4, , 2
2019/12/16, 36, 11, 16, , 3
2019/12/17, 34, 12, 2, , 1
2019/12/18, 46, 12, 7, 1, 2
2019/12/19, 35, 12, 4, , 2
2019/12/20, 28, 10, 5, , 2
2019/12/21, 27, 16, 6, , 2
2019/12/22, 52, 16, 6, , 2
2019/12/23, 51, 11, 2, , 1
2019/12/24, 41, 10, 6, , 2
2019/12/25, 25, 10, 12, , 3
2019/12/26, 39, 9, 8, , 2
2019/12/27, 32, 9, 4, , 1
2019/12/28, 24, 13, 15, , 
2019/12/29, 38, , , , 
2019/7/1, 30, 10, 4, , 
2019/7/2, 46, 9, 4, , 1
2019/7/3, 39, 10, 4, , 
2019/7/4, 45, 13, 4, , 1
2019/7/5, 49, 9, 2, , 
2019/7/6, 38, 8, 1, , 
2019/7/7, 39, 11, 3, , 
2019/7/8, 51, 10, 4, , 
2019/7/9, 40, 10, 3, , 
2019/7/10, 38, 17, 6, , 1
2019/7/11, 56, 12, 7, , 1
2019/7/12, 40, 10, 4, , 
2019/7/13, 30, 11, 3, , 
2019/7/14, 28, 5, 1, , 
2019/7/15, 18, 9, 3, , 
2019/7/16, 29, 12, 5, , 
2019/7/17, 36, 17, 7, , 1
2019/7/18, 52, 14, 7, , 
2019/7/19, 40, 13, 4, , 
2019/7/20, 40, 7, 2, , 
2019/7/21, 25, 10, 3, , 
2019/7/22, 31, 16, 5, , 
2019/7/23, 45, 19, 9, , 
2019/7/24, 54, 23, 7, , 1
2019/7/25, 65, 27, 10, , 1
2019/7/26, 65, 18, 7, , 
2019/7/27, 55, 15, 3, , 
2019/7/28, 47, 14, 3, , 
2019/7/29, 39, 16, 1, , 1
2019/7/30, 49, 15, 1, , 
2019/7/31, 38, 15, 1, , 
2019/8/1, 44, 16, 2, , 
2019/8/2, 49, 15, 3, , 1
2019/8/3, 49, 23, 3, , 1
2019/8/4, 67, 33, 7, , 1
2019/8/5, 82, 33, 10, , 1
2019/8/6, 81, 28, 7, , 1
2019/8/7, 77, 25, 4, , 1
2019/8/8, 74, 11, 1, , 1
2019/8/9, 34, 10, 2, , 1
2019/8/10, 33, 8, 3, , 1
2019/8/11, 31, 15, 4, , 1
2019/8/12, 43, 17, 3, , 
2019/8/13, 48, 9, 3, , 1
2019/8/14, 26, 11, 3, , 1
2019/8/15, 29, 19, 3, , 1
2019/8/16, 40, 14, 1, , 1
2019/8/17, 33, 21, 3, , 1
2019/8/18, 61, 17, 4, , 1
2019/8/19, 54, 9, 4, , 1
2019/8/20, 29, 9, 4, , 1
2019/8/21, 27, 10, 4, , 1
2019/8/22, 32, 9, 4, , 1
2019/8/23, 31, 9, 2, , 1
2019/8/24, 31, 8, 2, , 
2019/8/25, 24, 7, 3, , 1
2019/8/26, 20, 11, 4, , 1
2019/8/27, 28, 10, 5, 1, 
2019/8/28, 29, 7, 2, , 1
2019/8/29, 21, 10, 5, , 1
2019/8/30, 36, 14, 4, , 1
2019/8/31, 47, 11, 2, , 
2019/9/1, 40, 10, 3, , 1
2019/9/2, 37, 13, 3, , 1
2019/9/3, 39, 9, 4, , 1
2019/9/4, 36, 20, 4, , 1
2019/9/5, 46, 16, 7, , 1
2019/9/6, 45, 16, 6, , 1
2019/9/7, 44, 22, 6, , 1
2019/9/8, 62, 14, 4, , 1
2019/9/9, 42, 13, 2, , 1
2019/9/10, 41, 11, 5, , 1
2019/9/11, 33, 7, 4, , 
2019/9/12, 30, 9, 4, , 1
2019/9/13, 29, 14, 5, , 1
2019/9/14, 41, 12, 4, , 1
2019/9/15, 38, 12, 4, , 1
2019/9/16, 32, 7, 3, , 1
2019/9/17, 35, 9, 4, , 1
2019/9/18, 35, 9, 2, , 
2019/9/19, 26, 10, 3, , 1
2019/9/20, 28, 10, 4, , 1
2019/9/21, 26, 12, 3, , 1
2019/9/22, 39, 8, 4, , 1
2019/9/23, 27, 9, 1, , 
2019/9/24, 32, 9, 3, , 
2019/9/25, 28, 10, 4, , 1
2019/9/26, 32, 13, 4, , 1
2019/9/27, 40, 13, 4, , 3
2019/9/28, 42, 13, 3, , 1
2019/9/29, 42, 23, 3, , 1
2019/9/30, 68, 27, 4, , 2
2019/4/1, 48, 17, 5, , 
2019/4/2, 46, 15, 6, , 2
2019/4/3, 41, 19, 5, , 2
2019/4/4, 58, 25, 7, , 1
2019/4/5, 55, 19, 4, , 1
2019/4/6, 49, 13, 4, , 1
2019/4/7, 38, 11, 6, , 1
2019/4/8, 34, 11, 5, , 1
