date, pm10, o3, no2, so2, co
2023/1/14, 66, 36, 14, 3, 
2023/1/15, 65, 31, 18, 2, 
2023/1/16, 62, 33, 20, 3, 
2023/1/17, 59, 33, 20, 4, 
2023/1/18, 61, 40, 9, 5, 
2023/1/19, 68, 40, 8, 4, 
2023/1/20, 62, 45, 18, 3, 
2023/1/21, 60, 39, 16, 3, 
2023/1/22, 58, 49, 15, 2, 
2023/1/23, 58, 28, 20, 3, 
2023/1/24, 60, 42, 17, 3, 
2023/1/25, 67, 38, 11, 3, 
2023/1/26, 65, 35, 10, 2, 
2023/1/27, 64, 34, 7, 2, 
2023/1/28, 59, 41, 9, 2, 
2023/1/29, 55, 41, 12, 4, 
2023/1/30, 57, 46, 23, 4, 
2023/1/31, 68, 38, 22, 3, 
2023/2/1, 69, 32, 19, 2, 
2023/2/2, 78, 38, 16, 3, 
2023/2/3, 93, 49, 16, 3, 
2023/2/4, 84, 44, 9, 4, 
2023/2/5, 77, 44, 15, 4, 
2023/2/6, 70, 33, 23, 4, 
2023/2/7, 71, 32, 20, 3, 
2023/2/8, 89, 44, 16, 3, 
2023/2/9, 94, 40, 5, 3, 
2023/2/10, 84, 43, 4, 3, 
2023/2/11, 73, 41, 8, 3, 
2023/2/12, 59, 55, 22, 4, 
2023/2/13, 59, 32, 22, 3, 
2023/2/14, 72, 32, 21, 3, 
2023/2/15, 75, 32, 22, 2, 
2023/2/16, 87, 39, 16, 2, 
2023/2/17, 101, 40, 6, 2, 
2023/2/18, 78, 42, 6, 3, 
2023/2/19, 69, 47, 5, 4, 
2023/2/20, 70, 49, 5, 5, 
2023/2/21, 60, 46, 9, 6, 
2023/2/22, 60, 38, 22, 7, 
2023/2/23, 63, 39, 35, 5, 
2023/2/24, 73, 38, 23, 4, 
2023/2/25, 84, 38, 13, 3, 
2023/2/26, 86, 36, 12, 3, 
2023/2/27, 91, 47, 20, 3, 
2023/2/28, 78, 48, 18, 3, 
2023/3/1, 70, 53, 13, 4, 
2023/3/2, 68, 45, 11, 5, 
2023/3/3, 64, 53, 9, 3, 
2023/3/4, 65, 43, 10, 4, 
2023/3/5, 64, 32, 16, 5, 
2023/3/6, 64, 18, 24, 8, 
2023/3/7, 71, 16, 29, 8, 
2023/3/8, 76, 16, 33, 6, 
2023/3/9, 82, 15, 19, 3, 
2023/3/10, 83, 16, 13, 3, 
2023/3/11, 89, 16, 21, 3, 
2023/3/12, 79, 16, 15, 5, 
2023/3/13, 68, 24, 17, 5, 
2023/3/14, 70, 35, 9, 5, 
2023/3/15, 73, 32, 12, 4, 
2023/3/16, 61, 26, 16, 6, 
2023/3/17, 60, 43, 6, 5, 
2023/3/18, 64, 43, 6, 10, 
2023/3/19, 61, 29, 18, 14, 
2023/3/20, 61, 36, 20, 7, 
2023/3/21, 64, 43, 14, 6, 
2023/3/22, 76, 42, 6, 5, 
2023/3/23, 84, 44, 8, 8, 
2023/3/24, 59, 41, 9, 7, 
2023/3/25, 57, 47, 13, 7, 
2023/3/26, 60, 12, 27, 5, 
2023/3/27, 64, 23, 16, 4, 
2023/3/28, 131, 39, 11, 5, 
2023/3/29, 145, 47, 5, 8, 
2023/3/30, 70, 49, 14, 8, 
2023/3/31, 66, 57, 21, 9, 
2023/4/1, 65, 41, 18, 8, 
2022/10/2, 77, 57, 13, 2, 
2022/10/3, 76, 90, 11, 3, 
2022/10/4, 82, 36, 10, 2, 
2022/10/5, 97, 41, 12, 2, 
2022/10/6, 144, 42, 10, 3, 
2022/10/7, 94, 86, 13, 3, 
2022/10/8, 76, 37, 14, 2, 
2022/10/9, 83, 33, 12, 3, 
2022/10/10, 84, 46, 18, 3, 
2022/10/11, 80, 46, 18, 6, 
2022/10/12, 68, 66, 13, 2, 
2022/10/13, 74, 49, 17, 3, 
2022/10/14, 82, 71, 22, 3, 
2022/10/15, 78, 84, 21, 3, 
2022/10/16, 74, 48, 17, 2, 
2022/10/17, 68, 44, 12, 2, 
2022/10/18, 63, 58, 12, 2, 
2022/10/19, 77, 41, 18, 3, 
2022/10/20, 72, 47, 15, 2, 
2022/10/21, 66, 57, 15, 2, 
2022/10/22, 64, 59, 17, 3, 
2022/10/23, 70, 78, 15, 3, 
2022/10/24, 70, 47, 20, 2, 
2022/10/25, 74, 51, 18, 7, 
2022/10/26, 68, 55, 20, 7, 
2022/10/27, 69, 58, 21, 2, 
2022/10/28, 71, 52, 19, 2, 
2022/10/29, 76, 54, 20, 2, 
2022/10/30, 78, 61, 14, 2, 
2022/10/31, 80, 57, 20, 2, 
2022/11/1, 82, 57, 21, 2, 
2022/11/2, 80, 41, 23, 2, 
2022/11/3, 86, 53, 28, 2, 
2022/11/4, 79, 35, 22, 2, 
2022/11/5, 78, 35, 20, 2, 
2022/11/6, 73, 44, 17, 2, 
2022/11/7, 66, 36, 24, 2, 
2022/11/8, 63, 31, 18, 2, 
2022/11/9, 71, 29, 18, 2, 
2022/11/10, 107, 27, 20, 2, 
2022/11/11, 133, 35, 21, 2, 
2022/11/12, 78, 40, 19, 3, 
2022/11/13, 82, 36, 16, 2, 
2022/11/14, 78, 37, 12, 2, 
2022/11/15, 67, 35, 17, 4, 
2022/11/16, 53, 35, 16, 6, 
2022/11/17, 54, 53, 21, 6, 
2022/11/18, 58, 45, 26, 6, 
2022/11/19, 70, 47, 19, 6, 
2022/11/20, 68, 38, 7, 6, 
2022/11/21, 63, 45, 9, 6, 
2022/11/22, 48, 53, 19, 7, 
2022/11/23, 47, 36, 25, 6, 
2022/11/24, 79, 36, 29, 7, 
2022/11/25, 65, 42, 25, 6, 
2022/11/26, 60, 43, 25, 6, 
2022/11/27, 53, 40, 21, 6, 
2022/11/28, 60, 38, 16, 6, 
2022/11/29, 70, 64, 25, 6, 
2022/11/30, 69, 46, 25, 6, 
2022/12/1, 68, 46, 10, 6, 
2022/12/2, 64, 41, 16, 6, 
2022/12/3, 58, 41, 17, 6, 
2022/12/4, 62, 40, 23, 6, 
2022/12/5, 59, 37, 24, 6, 
2022/12/6, 65, 33, 22, 5, 
2022/12/7, 61, 20, 26, 7, 
2022/12/8, 63, 41, 18, 6, 
2022/12/10, 57, 43, 6, 6, 
2022/12/11, 45, 42, 11, 6, 
2022/12/12, 50, 41, 22, 6, 
2022/12/13, 54, 45, 31, 6, 
2022/12/14, 63, 43, 28, 6, 
2022/12/15, 59, 35, 26, 6, 
2022/12/16, 53, 45, 22, 7, 
2022/12/17, 48, 35, 22, 6, 
2022/12/18, 54, 40, 12, 7, 
2022/12/19, 59, 41, 28, 6, 
2022/12/20, 64, 37, 22, 6, 
2022/12/21, 67, 38, 23, 7, 
2022/12/22, 54, 40, 26, 6, 
2022/12/23, 61, 41, 26, 7, 
2022/12/24, 57, 27, 20, 6, 
2022/12/25, 59, 39, 12, 6, 
2022/12/26, 70, 33, 17, 6, 
2022/12/27, 49, 22, 15, 3, 
2022/12/28, 21, 41, 12, 2, 
2022/12/29, 59, 39, 10, 3, 
2022/12/30, 59, 45, 18, 3, 
2022/12/31, 56, 43, 15, 2, 
2023/1/1, 57, 42, 11, 3, 
2023/1/2, 56, 42, 20, 5, 
2022/7/2, 64, 41, 5, 3, 
2022/7/3, 67, 42, 5, 3, 
2022/7/4, 60, 39, 5, 3, 
2022/7/5, 66, 32, 4, 6, 
2022/7/6, 66, 27, 10, 9, 
2022/7/7, 71, 29, 10, 2, 
2022/7/8, 68, 30, 4, 2, 
2022/7/9, 45, 27, 4, 2, 
2022/7/10, 25, 42, 5, 2, 
2022/7/11, 28, 28, 2, 2, 
2022/7/12, 42, 24, 4, 3, 
2022/7/13, 32, 27, 6, 3, 
2022/7/14, 37, 31, 8, 3, 
2022/7/15, 55, 55, 11, 4, 
2022/7/16, 102, 37, 8, 3, 
2022/7/17, 274, 46, 7, 3, 
2022/7/18, 189, 29, 7, 2, 
2022/7/19, 184, 39, 9, 2, 
2022/7/20, 177, 29, 8, 2, 
2022/7/21, 167, 33, 11, 3, 
2022/7/22, 105, 25, 9, 3, 
2022/7/23, 95, 46, 8, 2, 
2022/7/24, 106, 44, 6, 3, 
2022/7/25, 105, 40, 6, 8, 
2022/7/26, 120, 16, 8, 10, 
2022/7/27, 262, 34, 5, 3, 
2022/7/28, 240, 30, 5, 2, 
2022/7/29, 110, 33, 4, 2, 
2022/7/30, 145, 21, 4, 2, 
2022/7/31, 115, 20, 7, 3, 
2022/8/1, 143, 20, 6, 2, 
2022/8/2, 138, 25, 8, 2, 
2022/8/3, 134, 24, 10, 3, 
2022/8/4, 126, 33, 10, 3, 
2022/8/5, 125, 28, 11, 2, 
2022/8/6, 114, 38, 15, 7, 
2022/8/7, 141, 49, 13, 10, 
2022/8/8, 153, 44, 15, 4, 
2022/8/9, 151, 41, 14, 3, 
2022/8/10, 131, 51, 13, 3, 
2022/8/11, 99, 71, 10, 3, 
2022/8/12, 109, 52, 7, 4, 
2022/8/13, 106, 38, 6, 3, 
2022/8/14, 194, 28, 9, 3, 
2022/8/15, 399, 41, 9, 3, 
2022/8/17, 401, 61, 8, 3, 
2022/8/18, 122, 64, 9, 3, 
2022/8/19, 140, 65, 8, 2, 
2022/8/20, 152, 82, 10, 3, 
2022/8/21, 157, 71, 11, 3, 
2022/8/22, 107, 79, 17, 3, 
2022/8/23, 164, 68, 10, 3, 
2022/8/24, 212, 76, 9, 8, 
2022/8/25, 113, 57, 10, 8, 
2022/8/26, 124, 47, 11, 3, 
2022/8/27, 120, 36, 9, 2, 
2022/8/28, 131, 42, 9, 2, 
2022/8/29, 132, 59, 7, 2, 
2022/8/30, 116, 39, 6, 2, 
2022/8/31, 136, 68, 7, 2, 
2022/9/1, 123, 66, 8, 2, 
2022/9/2, 88, 65, 8, 3, 
2022/9/3, 77, 27, 6, 2, 
2022/9/4, 95, , , , 
2022/9/6, 107, 29, 10, 2, 
2022/9/7, 84, 39, 9, 2, 
2022/9/8, 83, 31, 10, 2, 
2022/9/9, 105, 33, 9, 2, 
2022/9/10, 103, 86, 8, 2, 
2022/9/11, 105, 62, 13, 2, 
2022/9/12, 99, 64, 10, 5, 
2022/9/13, 83, 80, 8, 2, 
2022/9/14, 110, 44, 8, 3, 
2022/9/15, 109, 43, 14, 3, 
2022/9/16, 102, 46, 7, 3, 
2022/9/17, 88, 53, 5, 2, 
2022/9/18, 86, 54, 8, 2, 
2022/9/19, 105, 59, 12, 2, 
2022/9/20, 84, 35, 8, 3, 
2022/9/21, 106, 34, 11, 2, 
2022/9/22, 149, 37, 11, 2, 
2022/9/23, 115, 58, 11, 2, 
2022/9/24, 97, 46, 11, 2, 
2022/9/25, 93, 56, 6, 2, 
2022/9/26, 91, 43, 8, 5, 
2022/9/27, 110, 58, 8, 8, 
2022/9/28, 92, 51, 6, 7, 
2022/9/29, 90, 65, 11, 3, 
2022/9/30, 89, 69, 10, 3, 
2022/10/1, 77, 46, 10, 3, 
2022/4/2, 104, 38, 20, 3, 
2022/4/3, 78, 60, 20, 3, 
2022/4/4, 77, 56, 20, 4, 
2022/4/5, 78, 44, 24, 3, 
2022/4/6, 71, 47, 24, 3, 
2022/4/7, 66, 50, 27, 4, 
2022/4/8, 73, 43, 32, 4, 
2022/4/9, 72, 56, 33, 6, 
2022/4/10, 65, 44, 32, 5, 
2022/4/11, 63, 40, 17, 3, 
2022/4/12, 80, 35, 21, 3, 
2022/4/13, 144, 27, 30, 6, 
2022/4/14, 99, 36, 27, 4, 
2022/4/15, 99, 39, 19, 3, 
2022/4/16, 107, 28, 14, 3, 
2022/4/17, 79, 37, 10, 2, 
2022/4/18, 90, 47, 7, 3, 
2022/4/19, 89, 59, 18, 4, 
2022/4/20, 62, 68, 21, 3, 
2022/4/21, 52, 88, 17, 3, 
2022/4/22, 40, 55, 28, 3, 
2022/4/23, 45, 53, 24, 5, 
2022/4/24, 66, 59, 17, 3, 
2022/4/25, 69, 36, 17, 3, 
2022/4/26, 59, 33, 20, 3, 
2022/4/27, 96, 28, 12, 2, 
2022/4/28, 113, 34, 14, 3, 
2022/4/29, 62, 43, 13, 3, 
2022/4/30, 76, 31, 5, 2, 
2022/5/1, 78, 40, 11, 2, 
2022/5/2, 59, 39, 14, 4, 
2022/5/3, 78, 35, 4, 4, 
2022/5/4, 190, 39, 5, 3, 
2022/5/5, 161, 29, 21, 4, 
2022/5/6, 88, 20, 16, 2, 
2022/5/7, 100, 9, 12, 3, 
2022/5/8, 156, 39, 17, 3, 
2022/5/9, 113, 43, 6, 7, 
2022/5/10, 95, 69, 7, 10, 
2022/5/11, 74, 50, 8, 2, 
2022/5/12, 83, 47, 13, 3, 
2022/5/13, 83, 67, 7, 3, 
2022/5/14, 83, 60, 3, 4, 
2022/5/15, 108, 68, 8, 3, 
2022/5/16, 176, 67, 4, 3, 
2022/5/17, 219, 71, 20, 3, 
2022/5/18, 163, 47, 8, 3, 
2022/5/19, 880, 50, 16, 2, 
2022/5/20, 399, 60, 11, 2, 
2022/5/21, 129, 60, 12, 3, 
2022/5/22, 85, 50, 7, 3, 
2022/5/23, 88, 97, 16, 3, 
2022/5/24, 82, 50, 15, 4, 
2022/5/25, 117, 43, 8, 3, 
2022/5/26, 544, 43, 7, 3, 
2022/5/27, 176, 43, 9, 3, 
2022/5/28, 95, 52, 7, 2, 
2022/5/29, 92, 56, 10, 2, 
2022/5/30, 77, 98, 11, 4, 
2022/5/31, 66, 95, 21, 7, 
2022/6/1, 81, 116, 21, 3, 
2022/6/2, 79, 32, 13, 2, 
2022/6/3, 91, 54, 11, 2, 
2022/6/4, 108, 68, 20, 3, 
2022/6/5, 91, 63, 20, 9, 
2022/6/6, 76, 72, 22, 5, 
2022/6/7, 79, 47, 16, 3, 
2022/6/8, 91, 58, 21, 3, 
2022/6/9, 101, 63, 38, 9, 
2022/6/10, 91, 65, 14, 16, 
2022/6/11, 78, 45, 7, 2, 
2022/6/12, 103, 54, 11, 3, 
2022/6/13, 121, 33, 6, 3, 
2022/6/14, 115, 31, 9, 2, 
2022/6/15, 159, 34, 17, 3, 
2022/6/16, 286, 56, 20, 3, 
2022/6/17, 176, 52, 7, 3, 
2022/6/18, 124, 51, 8, 4, 
2022/6/19, 98, 26, 9, 2, 
2022/6/20, 107, 39, 10, 3, 
2022/6/21, 164, 47, 21, 2, 
2022/6/22, 155, 56, 25, 3, 
2022/6/23, 115, 35, 23, 3, 
2022/6/24, 171, 13, 9, 6, 
2022/6/25, 314, 30, 10, 9, 
2022/6/26, 163, 36, 10, 3, 
2022/6/27, 91, 41, 8, 3, 
2022/6/28, 74, 39, 8, 5, 
2022/6/29, 84, 12, 9, 10, 
2022/6/30, 124, 11, 18, 3, 
2022/7/1, 102, 45, 18, 2, 
2022/1/4, 141, 32, 7, 9, 
2022/1/5, 76, 36, 5, 10, 
2022/1/6, 42, 29, 11, 10, 
2022/1/7, 44, 33, 26, 9, 
2022/1/8, 48, 32, 32, 8, 
2022/1/9, 58, 35, 31, 12, 
2022/1/10, 68, 43, 26, 11, 
2022/1/11, 57, 38, 32, 10, 
2022/1/12, 54, 39, 39, 10, 
2022/1/13, 57, 34, 25, 11, 
2022/1/14, 57, 25, 27, 8, 
2022/1/15, 50, 25, 19, 8, 
2022/1/16, 68, 24, 17, 8, 
2022/1/17, 126, 24, 16, 9, 
2022/1/18, 81, 24, 13, 8, 
2022/1/19, 78, 27, 10, 8, 
2022/1/20, 49, 30, 12, 8, 
2022/1/21, 36, 34, 4, 8, 
2022/1/22, 62, 33, 5, 9, 
2022/1/23, 88, 31, 6, 10, 
2022/1/24, 65, 31, 18, 9, 
2022/1/25, 46, 35, 21, 9, 
2022/1/26, 67, 37, 26, 10, 
2022/1/27, 90, 40, 25, 10, 
2022/1/28, 82, 41, 19, 9, 
2022/1/29, 73, 34, 11, 7, 
2022/1/30, 114, 34, 16, 13, 
2022/1/31, 101, 30, 20, 10, 
2022/2/1, 73, 25, 32, 9, 
2022/2/2, 91, 35, 16, 8, 
2022/2/3, 106, 37, 21, 8, 
2022/2/4, 88, 40, 17, 8, 
2022/2/5, 94, 41, 21, 9, 
2022/2/6, 87, 39, 5, 11, 
2022/2/7, 81, 39, 5, 9, 
2022/2/8, 69, 38, 5, 11, 
2022/2/9, 58, 37, 10, 14, 
2022/2/10, 51, 39, 24, 10, 
2022/2/11, 53, 40, 24, 9, 
2022/2/12, 57, 30, 21, 9, 
2022/2/13, 63, 44, 8, 11, 
2022/2/14, 67, 43, 19, 10, 
2022/2/15, 59, 37, 14, 10, 
2022/2/16, 55, 40, 17, 9, 
2022/2/17, 61, 52, 27, 13, 
2022/2/18, 56, 33, 27, 9, 
2022/2/19, 59, 43, 26, 10, 
2022/2/20, 43, 26, 24, 8, 
2022/2/21, 57, 36, 16, 10, 
2022/2/22, 82, 42, 6, 12, 
2022/2/23, 122, 45, 9, 11, 
2022/2/24, 117, 51, 19, 8, 
2022/2/25, 151, 50, 24, 9, 
2022/2/26, 119, 46, 22, 9, 
2022/2/27, 87, 32, 22, 9, 
2022/2/28, 79, 39, 12, 8, 
2022/3/1, 75, 42, 11, 10, 
2022/3/2, 60, 46, 21, 12, 
2022/3/3, 58, 36, 24, 9, 
2022/3/4, 55, 39, 24, 8, 
2022/3/5, 59, 22, 24, 8, 
2022/3/6, 96, 31, 18, 10, 
2022/3/7, 83, 24, 21, 9, 
2022/3/8, 122, 19, 19, 9, 
2022/3/9, 146, 24, 12, 8, 
2022/3/10, 153, 26, 24, 11, 
2022/3/11, 72, 27, 24, 9, 
2022/3/12, 82, 25, 23, 10, 
2022/3/13, 106, 38, 26, 10, 
2022/3/14, 92, 22, 38, 8, 
2022/3/15, 88, 36, 27, 8, 
2022/3/16, 83, 37, 25, 8, 
2022/3/17, 79, 39, 5, 9, 
2022/3/18, 74, 40, 5, 10, 
2022/3/19, 57, 44, 5, 10, 
2022/3/20, 43, 43, 10, 10, 
2022/3/21, 52, 39, 23, 10, 
2022/3/22, 56, 44, 31, 10, 
2022/3/23, 75, 35, 27, 13, 
2022/3/24, 76, 10, 36, 8, 
2022/3/25, 87, 32, 27, 4, 
2022/3/26, 92, 41, 10, 5, 
2022/3/27, 96, 42, 5, 3, 
2022/3/28, 78, 44, 4, 3, 
2022/3/29, 65, 44, 6, 2, 
2022/3/30, 58, 50, 7, 3, 
2022/3/31, 67, 48, 16, 4, 
2022/4/1, 70, 41, 29, 6, 
2021/10/2, 47, 39, 7, 4, 
2021/10/3, 48, 21, 5, 5, 
2021/10/4, 67, 21, 4, 5, 
2021/10/5, 94, 28, 5, 4, 
2021/10/6, 55, 40, 6, 4, 
2021/10/7, 58, 45, 8, 4, 
2021/10/8, 65, 28, 7, 4, 
2021/10/9, 63, 30, 5, 4, 
2021/10/10, 66, 30, 4, 5, 
2021/10/11, 72, 34, 7, 4, 
2021/10/12, 62, 31, 7, 4, 
2021/10/13, 67, 22, 8, 3, 
2021/10/14, 95, 29, 10, 5, 
2021/10/15, 106, 30, 13, 5, 
2021/10/16, 62, 35, 11, 4, 
2021/10/17, 57, 37, 11, 3, 
2021/10/18, 58, 30, 11, 2, 
2021/10/19, 82, 23, 3, 3, 
2021/10/20, 88, 25, 7, 2, 
2021/10/21, 75, 30, 6, 2, 
2021/10/22, 74, 30, 2, 2, 
2021/10/23, 62, 29, 4, 2, 
2021/10/24, 62, 30, 4, 3, 
2021/10/25, 56, 35, 8, 3, 
2021/10/26, 58, 25, 6, 2, 
2021/10/27, 57, 32, 8, 6, 
2021/10/28, 53, 24, 13, 3, 
2021/10/29, 50, 32, 8, 2, 
2021/10/30, 50, 28, 15, 1, 
2021/10/31, 52, 29, 19, 2, 
2021/11/1, 45, 25, 16, 2, 
2021/11/2, 45, 33, 13, 2, 
2021/11/3, 50, 39, 15, 2, 
2021/11/4, 49, 39, 19, 2, 
2021/11/5, 56, 46, 21, 3, 
2021/11/6, 62, 35, 23, 3, 
2021/11/7, 62, 33, 23, 2, 
2021/11/8, 62, 34, 17, 2, 
2021/11/9, 87, 35, 22, 3, 
2021/11/10, 135, 39, 20, 3, 
2021/11/11, 85, 32, 25, 2, 
2021/11/12, 75, 38, 21, 2, 
2021/11/13, 73, 35, 21, 2, 
2021/11/14, 73, 32, 10, 2, 
2021/11/15, 65, 37, 27, 2, 
2021/11/16, 53, 35, 19, 2, 
2021/11/17, 67, 41, 24, 2, 
2021/11/18, 65, 41, 23, 3, 
2021/11/19, 65, 36, 14, 3, 
2021/11/20, 66, 36, 21, 3, 
2021/11/21, 69, 29, 24, 2, 
2021/11/22, 73, 20, 24, 2, 
2021/11/23, 75, 22, 24, 3, 
2021/11/24, 62, 28, 11, 3, 
2021/11/25, 57, 33, 13, 6, 
2021/11/26, 50, 37, 18, 3, 
2021/11/27, 47, 26, 22, 2, 
2021/11/28, 53, 34, 17, 2, 
2021/11/29, 62, 37, 13, 3, 
2021/11/30, 62, 38, 22, 2, 
2021/12/1, 80, 39, 13, 2, 
2021/12/2, 66, 35, 19, 1, 
2021/12/3, 47, 32, 22, 2, 
2021/12/4, 48, 36, 7, 3, 
2021/12/5, 51, 33, 17, 4, 
2021/12/6, 51, 35, 25, 4, 
2021/12/7, 59, 34, 28, 3, 
2021/12/8, 55, 33, 22, 4, 
2021/12/9, 50, 19, 33, 8, 
2021/12/10, 56, 36, 27, 8, 
2021/12/11, 60, 35, 28, 10, 
2021/12/12, 57, 37, 14, 11, 
2021/12/13, 61, 44, 26, 10, 
2021/12/14, 60, 26, 34, 10, 
2021/12/15, 65, 34, 30, 10, 
2021/12/16, 63, 33, 30, 8, 
2021/12/17, 63, 48, 26, 8, 
2021/12/18, 60, 29, 26, 8, 
2021/12/19, 58, 33, 24, 8, 
2021/12/20, 62, 28, 27, 9, 
2021/12/21, 56, 24, 29, 7, 
2021/12/22, 57, 31, 20, 8, 
2021/12/23, 60, 31, 12, 9, 
2021/12/24, 79, 30, 18, 10, 
2021/12/25, 62, 22, 26, 9, 
2021/12/26, 54, 27, 11, 9, 
2021/12/27, 61, 31, 9, 9, 
2021/12/28, 51, 29, 19, 9, 
2021/12/29, 47, , , , 
2022/1/3, 76, 22, 13, 8, 
2021/7/2, 41, 58, 9, 19, 
2021/7/3, 62, 54, 13, 6, 
2021/7/4, 90, 58, 18, 5, 
2021/7/5, 93, 37, 19, 5, 
2021/7/6, 105, 26, 15, 4, 
2021/7/7, 155, 14, 13, 5, 
2021/7/8, 177, 17, 12, 4, 
2021/7/9, 155, 45, 11, 4, 
2021/7/10, 117, 41, 18, 3, 
2021/7/11, 105, 24, 17, 4, 
2021/7/12, 65, 56, 12, 4, 
2021/7/13, 43, 26, 7, 3, 
2021/7/14, 39, 17, 10, 4, 
